start,finish,task
2023-04-14 16:00:13.816591,2023-04-17 09:27:18.537514,hangar
2023-04-17 09:27:18.552511,2023-04-17 09:42:21.139160,hangar
2023-04-17 09:42:21.155163,2023-04-17 10:21:54.176909,sbr
2023-04-17 10:21:54.191910,2023-04-17 10:42:19.973992,bellgio
2023-04-17 10:42:19.985995,2023-04-17 11:03:24.520918,walk
2023-04-17 11:03:24.535914,2023-04-17 11:18:30.501977,bellaggio
2023-04-17 11:18:30.515974,2023-04-17 11:33:32.514736,bellaggio
2023-04-17 11:33:32.530737,2023-04-17 11:48:39.143317,bellaggio
2023-04-17 11:48:39.162410,2023-04-17 13:15:41.327344,bellaggio
2023-04-17 13:15:41.341348,2023-04-17 13:30:44.757515,bellaggio
2023-04-17 13:30:44.774827,2023-04-17 13:48:20.831873,bellaggio
2023-04-17 13:48:20.866873,2023-04-17 14:03:24.017951,bellaggio
2023-04-17 14:03:24.031946,2023-04-17 14:18:28.285868,bellaggio
2023-04-17 14:18:28.303966,2023-04-17 14:50:26.349891,bellaggio
2023-04-17 14:50:26.367894,2023-04-17 15:23:51.694181,bellaggio
2023-04-17 15:23:51.710179,2023-04-17 15:39:01.259142,play
2023-04-17 15:39:01.276233,2023-04-17 16:24:04.261926,play
2023-04-17 16:24:04.278927,2023-04-17 16:39:15.038312,play
2023-04-17 16:39:15.059311,2023-04-18 08:38:25.848246,play
2023-04-18 08:38:25.922766,2023-04-18 08:53:26.080099,play
2023-04-18 08:53:26.108093,2023-04-18 12:34:19.673666,looking at offices
2023-04-19 09:13:53.623032,2023-04-19 09:13:53.954302,
2023-04-19 09:13:54.013308,2023-04-19 10:03:24.057525,time sheet
2023-04-19 10:03:24.084523,2023-04-19 10:18:29.447648,rhino email
2023-04-19 10:18:29.460648,2023-04-19 10:33:31.679611,rhino email
2023-04-19 10:33:31.693608,2023-04-19 10:48:34.475016,rhino email
2023-04-19 10:48:34.485014,2023-04-19 11:06:05.503115,rhino email
2023-04-19 11:06:05.523111,2023-04-19 12:27:54.123653,walk
2023-04-19 12:27:54.135652,2023-04-19 14:07:18.733084,bike
2023-04-19 14:07:18.753615,2023-04-19 14:37:28.359099,sbr windows
2023-04-19 14:37:28.371107,2023-04-19 14:52:38.241565,mpi scope
2023-04-19 14:52:38.254602,2023-04-19 17:01:01.140870,ironbank
2023-04-19 17:01:01.152825,2023-04-20 08:23:56.086029,home
2023-04-20 08:23:56.147569,2023-04-20 08:38:58.198840,home
2023-04-20 08:38:58.251389,2023-04-20 09:16:28.097824,r&D
2023-04-20 09:16:28.110827,2023-04-20 09:31:31.390154,r&D
2023-04-20 09:31:31.403161,2023-04-20 09:46:33.220193,r&D
2023-04-20 09:46:33.232195,2023-04-20 10:01:39.607139,r&D
2023-04-20 10:01:39.618139,2023-04-20 10:16:42.603919,r&D
2023-04-20 10:16:42.615929,2023-04-20 10:31:52.300556,r&D
2023-04-20 10:31:52.316592,2023-04-20 10:46:54.494671,r&D
2023-04-20 10:46:54.505636,2023-04-20 11:01:56.449263,r&D
2023-04-20 11:01:56.459262,2023-04-20 11:17:03.718456,r&D
2023-04-20 11:17:03.732422,2023-04-20 11:34:01.751899,r&D
2023-04-20 11:34:01.766901,2023-04-20 11:49:03.187816,r&D
2023-04-20 11:49:03.198820,2023-04-20 12:04:04.439454,r&D
2023-04-20 12:04:04.453454,2023-04-20 12:19:22.308820,r&D
2023-04-20 12:19:22.320825,2023-04-20 12:35:04.398372,r&D
2023-04-20 12:35:04.411369,2023-04-20 12:50:04.614499,r&D
2023-04-20 12:50:04.628495,2023-04-21 09:34:16.509894,r&D
2023-04-21 09:34:16.524899,2023-04-21 09:49:21.606017,admin
2023-04-21 09:49:21.622018,2023-04-21 10:08:52.611386,admin
2023-04-21 10:08:52.630386,2023-04-21 10:39:46.825058,sbr alucraft calcs
2023-04-21 10:39:46.837070,2023-04-21 10:54:50.899847,sbr alucraft calcs
2023-04-21 10:54:50.916845,2023-04-21 11:12:23.952549,team meeting
2023-04-21 11:12:23.967623,2023-04-21 11:27:26.137166,team meeting
2023-04-21 11:27:26.153691,2023-04-21 13:05:09.261238,team meeting
2023-04-21 13:05:09.281252,2023-04-21 13:20:11.488992,team meeting
2023-04-21 13:20:11.503991,2023-04-21 14:09:04.659413,hangar
2023-04-21 14:09:04.680532,2023-04-21 14:24:09.312001,bellagion
2023-04-21 14:24:09.333012,2023-04-21 14:39:16.223433,bellagio
2023-04-21 14:39:16.237436,2023-04-21 14:54:36.630623,bellagio
2023-04-21 14:54:36.649625,2023-04-21 15:09:44.618165,bellagio
2023-04-21 15:09:44.656166,2023-04-21 15:24:50.372024,rad
2023-04-21 15:24:50.388553,2023-04-21 15:39:52.663580,rad
2023-04-21 15:39:52.723607,2023-04-21 15:54:54.109711,rad
