start,finish,task
2023-12-16 22:32:08.534093,2023-12-18 10:58:59.941736, due
2023-12-18 10:58:59.950719,2023-12-18 11:14:02.999905, due
2023-12-18 11:14:03.010425,2023-12-18 12:05:07.195781,mesh
2023-12-18 12:05:07.206781,2023-12-18 12:31:41.095465,mesh
2023-12-18 12:31:41.105466,2023-12-18 12:46:43.986227,mesh
2023-12-18 12:46:44.000361,2023-12-18 13:54:31.047466,mesh
2023-12-18 13:54:31.061575,2023-12-18 14:09:44.434006,aag windows
2023-12-18 14:09:44.445629,2023-12-18 14:39:46.736788,aag windows
2023-12-18 14:39:46.748759,2023-12-18 14:54:50.523300,aag windows
2023-12-18 14:54:50.534816,2023-12-18 15:13:05.927935,aag windows
2023-12-18 15:13:05.940335,2023-12-18 15:28:07.787347,aag windows
2023-12-18 15:28:07.799366,2023-12-18 15:46:46.504191,mesh flashing
2023-12-18 15:46:46.526221,2023-12-18 16:31:48.192213,mesh flashing
2023-12-18 16:31:48.203212,2023-12-18 16:49:12.716896,mesh flashing
2023-12-18 16:49:12.738953,2023-12-18 17:04:16.778616,mesh flashing
2023-12-18 17:04:16.788613,2023-12-19 10:42:24.440346,mesh flashing
2023-12-19 10:42:24.514824,2023-12-19 11:06:39.574805,mesh flashing
2023-12-19 11:06:39.586161,2023-12-19 11:27:01.796782,aag
2023-12-19 11:27:01.817291,2023-12-19 11:42:05.121465,aag
2023-12-19 11:42:05.138511,2023-12-19 11:57:07.114015,aag
2023-12-19 11:57:07.128017,2023-12-19 12:12:21.980606,scotty mc base face
2023-12-19 12:12:21.994125,2023-12-19 13:07:56.022173,scotty mc base face
2023-12-19 13:07:56.503617,2023-12-19 13:22:59.530811,scotty mc base face
2023-12-19 13:22:59.547327,2023-12-19 13:53:01.707963,scotty mc base face
2023-12-19 13:53:01.719968,2023-12-19 14:35:33.286543,scotty mc base face
2023-12-19 14:35:33.312074,2023-12-19 15:05:42.169483,research
2023-12-19 15:05:42.184004,2023-12-19 15:20:46.195708,research
2023-12-19 15:20:46.209187,2023-12-19 15:35:49.158590,research
2023-12-19 15:35:49.175106,2023-12-19 15:50:51.164208,research
2023-12-19 15:50:51.179757,2023-12-19 16:05:55.144286,research
2023-12-19 16:05:55.157800,2023-12-19 16:20:56.774344,research
2023-12-19 16:20:56.789343,2023-12-19 16:35:57.190441,research
2023-12-19 16:35:57.202953,2023-12-19 16:50:59.033069,research
2023-12-19 16:50:59.048114,2023-12-20 08:54:24.656909,research
2023-12-20 08:57:19.863547,2023-12-20 08:57:19.994477,
2023-12-20 08:57:19.994477,2023-12-20 09:27:25.691295,cmdhb
2023-12-20 09:27:25.702299,2023-12-20 09:42:33.199116,cmdhb
2023-12-20 09:42:33.212149,2023-12-20 10:30:59.276476,xmas
2023-12-20 10:30:59.289597,2023-12-20 10:46:05.586774,xmas
2023-12-20 10:46:05.599777,2023-12-22 13:59:25.989101,xmas
2023-12-22 13:59:26.002103,2023-12-22 14:29:28.588764,xmas
2023-12-22 14:29:28.603851,2023-12-22 15:03:40.698943,xmas
2023-12-22 15:03:40.712548,2023-12-22 15:45:42.869225,xmas
