start,finish,task
2023-04-21 15:54:54.132712,2023-04-24 09:42:49.001449,rad
2023-04-24 09:42:49.359911,2023-04-24 09:57:54.793468,bellagio
2023-04-24 09:57:54.818513,2023-04-24 10:12:58.303106,bellagio
2023-04-24 10:31:28.092626,2023-04-24 10:31:28.125626,
2023-04-24 10:31:28.126626,2023-04-24 10:46:47.511660,bell
2023-04-24 10:46:47.524661,2023-04-24 11:33:23.668810,bell
2023-04-24 11:33:23.692334,2023-04-24 11:48:31.780777,mpi
2023-04-24 11:48:31.792784,2023-04-24 12:03:35.301967,mpi
2023-04-24 12:03:35.316965,2023-04-24 12:18:37.957146,mpi
2023-04-24 12:18:37.973357,2023-04-24 13:24:52.914567,lunch
2023-04-24 13:24:53.025133,2023-04-24 13:39:55.079384,lunch
2023-04-24 13:39:55.105276,2023-04-24 13:54:56.993236,lunch
2023-04-24 13:54:57.007232,2023-04-24 14:09:59.002689,lunch
2023-04-24 14:09:59.017696,2023-04-24 14:25:00.671601,lunch
2023-04-24 14:25:00.688603,2023-04-24 14:40:03.285740,lunch
2023-04-24 14:40:03.304273,2023-04-24 15:04:58.849567,lunch
2023-04-24 15:04:58.877636,2023-04-24 15:20:03.202099,lunch
2023-04-24 15:20:03.218103,2023-04-24 15:35:05.508364,lunch
2023-04-24 15:35:05.532416,2023-04-24 15:50:57.335964,lunch
2023-04-24 18:51:08.847369,2023-04-24 18:51:09.106986,
2023-04-26 10:22:59.266865,2023-04-26 10:22:59.969652,
2023-04-28 09:01:22.521642,2023-04-28 09:01:23.496646,
2023-04-28 09:01:23.497646,2023-04-28 11:36:13.289070,sbr
2023-04-28 11:36:13.305072,2023-04-28 11:59:40.176462,sbr
2023-04-28 11:59:40.197932,2023-04-28 13:04:18.017079,sbr
2023-04-28 13:04:26.422583,2023-04-28 13:19:29.140406,sbr
2023-04-28 13:19:29.156412,2023-04-28 13:35:01.742622,sbr
2023-04-28 13:35:01.763134,2023-04-28 13:50:12.838607,sbr
2023-04-28 13:50:12.854609,2023-04-28 15:38:33.672421,sbr
2023-04-28 15:38:33.687950,2023-04-28 15:54:07.488087,sbr
2023-04-28 15:54:07.505096,2023-04-28 16:10:21.774518,sbr
2023-04-28 16:10:21.793514,2023-04-28 16:25:23.898186,sbr
2023-04-28 16:25:23.917209,2023-04-28 16:52:05.450202,sbr
