start,finish,task
2023-08-26 15:59:37.943450,2023-08-28 08:39:43.606887,onco
2023-08-28 08:39:43.640458,2023-08-28 08:54:45.813521,onco
2023-08-28 08:54:45.829523,2023-08-28 09:09:47.204290,onco
2023-08-28 09:09:47.220288,2023-08-28 09:25:02.902768,onco
2023-08-28 09:25:02.919278,2023-08-28 09:40:09.965664,onco
2023-08-28 09:40:09.999661,2023-08-28 09:55:11.325188,onco
2023-08-28 09:55:11.347190,2023-08-28 10:10:12.924308,onco
2023-08-28 10:10:12.941816,2023-08-28 10:25:14.803735,onco
2023-08-28 10:25:14.824256,2023-08-28 10:40:17.058111,onco
2023-08-28 10:40:17.074110,2023-08-28 11:26:19.740750,bellagio
2023-08-28 11:26:19.759275,2023-08-28 11:41:21.031607,bellagio
2023-08-28 11:41:21.049609,2023-08-28 11:56:24.530944,bellagio
2023-08-28 11:56:24.541943,2023-08-28 12:11:25.941231,bellagio
2023-08-28 12:11:25.955278,2023-08-28 15:57:17.631918,inco
2023-08-28 15:57:17.646945,2023-08-28 16:12:22.687944,inco
2023-08-28 16:12:22.703881,2023-08-28 17:07:53.284135,inco
2023-08-28 17:07:53.301138,2023-08-29 08:45:05.843116,inco
2023-08-29 08:45:05.949954,2023-08-29 09:00:13.893860,inco
2023-08-29 09:00:13.999233,2023-08-29 09:18:17.285629,inco
2023-08-29 09:18:17.299630,2023-08-29 09:48:22.833685,inco
2023-08-29 09:48:22.849687,2023-08-29 10:03:26.501110,inco
2023-08-29 10:03:26.516132,2023-08-29 10:50:44.070933,inco
2023-08-29 10:50:44.091946,2023-08-29 11:24:44.730544,inco
2023-08-29 11:24:44.743544,2023-08-29 12:10:32.526629,inco
2023-08-29 12:10:32.567630,2023-08-29 12:35:24.786464,inco
2023-08-29 12:35:24.803465,2023-08-29 12:50:26.756137,inco
2023-08-29 12:50:26.768144,2023-08-29 13:05:28.390248,inco
2023-08-29 13:05:28.407250,2023-08-29 13:20:30.443841,inco
2023-08-29 13:20:30.457844,2023-08-29 14:00:25.627886,inco
2023-08-29 14:00:25.699720,2023-08-29 14:16:38.130521,inco
2023-08-29 14:16:38.160956,2023-08-29 14:52:46.879194,inco
2023-08-29 14:52:46.900182,2023-08-29 15:30:00.450461,inco
2023-08-29 15:30:00.471768,2023-08-29 16:00:02.124219,inco
2023-08-29 16:00:02.138235,2023-08-29 16:15:03.474628,inco
2023-08-29 16:15:03.491420,2023-08-29 16:30:07.112286,inco
2023-08-29 16:30:07.132258,2023-08-29 18:04:20.938269,inco
2023-08-29 18:04:20.966273,2023-08-29 18:19:24.704007,inco
2023-08-29 18:19:24.723015,2023-08-29 18:34:34.288570,inco
2023-08-30 08:48:58.030138,2023-08-30 08:48:58.954492,
2023-08-30 08:48:59.079222,2023-08-30 09:08:23.794921,onco
2023-08-30 09:08:23.804929,2023-08-30 09:40:30.906879,onco
2023-08-30 09:40:30.913879,2023-08-30 09:57:08.434033,onco
2023-08-30 09:57:08.448034,2023-08-30 10:27:11.315967,onco
2023-08-30 10:27:11.327477,2023-08-30 10:42:14.538400,onco
2023-08-30 10:42:14.549916,2023-08-30 10:57:24.934084,onco
2023-08-30 10:57:24.948039,2023-08-30 11:12:26.271528,onco
2023-08-30 11:12:26.283739,2023-08-30 11:43:47.487344,onco
2023-08-30 11:43:47.500343,2023-08-30 12:17:24.258363,onco
2023-08-30 12:17:24.267361,2023-08-30 12:52:29.188178,onco
2023-08-30 12:52:29.201148,2023-08-30 13:07:31.457038,onco
2023-08-30 13:07:31.471552,2023-08-30 14:45:28.704958,onco
2023-08-30 14:45:28.717960,2023-08-30 15:24:06.693744,onco
2023-08-30 15:24:06.703738,2023-08-30 15:39:08.268017,onco
2023-08-30 15:39:08.277019,2023-08-30 15:54:12.448722,onco
2023-08-30 15:54:12.460722,2023-08-30 16:10:38.235960,onco
2023-08-30 16:10:38.246968,2023-08-30 16:25:39.861925,onco
2023-08-30 16:25:39.874927,2023-08-30 16:40:41.288902,onco
2023-08-30 16:40:41.299900,2023-08-30 16:56:39.658018,onco
2023-08-30 16:56:39.675020,2023-08-30 17:11:40.838390,onco
2023-08-30 17:11:40.852390,2023-08-30 17:26:41.312877,onco
2023-08-30 17:26:41.330880,2023-08-30 17:42:12.847253,onco
2023-08-30 17:42:12.858256,2023-08-30 17:57:15.635945,onco
2023-08-30 17:57:15.644945,2023-08-30 18:14:20.200360,onco
2023-09-01 09:07:42.001423,2023-09-01 09:07:42.239924,
2023-09-01 09:07:42.254507,2023-09-01 09:22:48.246288,admin
2023-09-01 09:22:48.258262,2023-09-01 09:37:56.622292,admin
2023-09-01 09:37:56.678360,2023-09-01 09:53:21.460665,admin
2023-09-01 09:53:21.581998,2023-09-01 10:08:29.704578,admin
2023-09-01 10:08:29.781587,2023-09-01 10:11:30.635479,admin
