start,finish,task
2023-09-22 14:10:44.023240,2023-09-25 09:02:00.073012,admin
2023-09-25 09:02:00.085326,2023-09-25 09:17:22.648601,hanagar
2023-09-25 09:17:22.663860,2023-09-25 09:32:23.298024,hanagar
2023-09-25 09:32:23.308435,2023-09-25 09:47:24.622409,hanagar
2023-09-25 09:47:24.637928,2023-09-25 10:23:03.549367,hanagar
2023-09-25 10:23:03.566530,2023-09-25 10:59:50.553476,hanagar
2023-09-25 10:59:50.566475,2023-09-25 11:14:52.963019,hanagar
2023-09-25 11:14:52.978020,2023-09-25 11:29:54.750610,hanagar
2023-09-25 11:29:54.761611,2023-09-25 11:44:56.181464,hanagar
2023-09-25 11:44:56.191463,2023-09-25 13:22:32.007953,aag
2023-09-25 13:22:32.022954,2023-09-25 13:37:33.594608,aag
2023-09-25 13:37:33.606608,2023-09-25 13:55:18.593805,aag
2023-09-25 13:55:18.610813,2023-09-25 14:23:30.582832,aag
2023-09-25 14:23:30.601836,2023-09-25 14:38:36.230450,aag
2023-09-25 14:38:36.242450,2023-09-25 14:53:38.273413,aag
2023-09-25 14:53:38.287417,2023-09-25 15:14:27.247663,ndh
2023-09-25 15:14:27.260176,2023-09-25 15:30:01.021414,ndh
2023-09-25 15:30:01.031929,2023-09-25 15:45:02.293679,ndh
2023-09-25 15:45:02.304685,2023-09-25 16:00:07.044033,ndh
2023-09-25 16:00:07.053997,2023-09-25 16:15:14.516446,ndh
2023-09-25 16:29:03.425499,2023-09-25 16:29:03.606102,
2023-09-25 16:29:03.607102,2023-09-26 09:00:02.989016,parkwood
2023-09-26 09:00:03.007015,2023-09-26 09:15:14.492763,meeting with jh
2023-09-26 09:15:14.514323,2023-09-26 09:30:18.502958,meeting with jh
2023-09-26 09:30:18.545156,2023-09-26 09:45:21.842503,meeting with jh
2023-09-26 09:45:21.897643,2023-09-26 10:00:23.858833,meeting with jh
2023-09-26 10:00:23.917653,2023-09-26 10:51:31.497106,meeting with jh
2023-09-26 10:51:31.509105,2023-09-26 12:00:22.647639,meeting with jh
2023-09-26 12:00:22.657156,2023-09-26 12:15:29.406953,hapton jon
2023-09-26 12:15:29.417473,2023-09-26 12:45:36.740283,mpi moisutre
2023-09-26 12:45:36.751500,2023-09-26 13:38:44.412214,lunch
2023-09-26 13:38:44.423226,2023-09-26 13:53:50.032402,aag
2023-09-26 13:53:50.060456,2023-09-26 14:24:04.625286,condesation
2023-09-26 14:24:04.636803,2023-09-26 14:39:11.127720,condesnation
2023-09-26 14:39:11.139235,2023-09-26 14:54:14.190468,condesnation
2023-09-26 14:54:14.201009,2023-09-26 15:09:17.148474,condesnation
2023-09-26 15:09:17.159978,2023-09-26 15:24:19.534561,condesnation
2023-09-26 15:24:19.546449,2023-09-26 15:39:34.143475,cmdhb
2023-09-26 15:39:34.153472,2023-09-26 15:54:40.303867,cmdhb
2023-09-26 15:54:40.319867,2023-09-26 16:09:45.771292,cmdhb
2023-09-26 16:09:45.781295,2023-09-26 16:24:47.762805,cmdhb
2023-09-26 16:24:47.776323,2023-09-26 16:45:27.330525,cmdhb
2023-09-26 16:45:27.343507,2023-09-27 09:11:39.656219,cmdhb
2023-09-27 09:11:40.003715,2023-09-27 09:11:40.039576,cmdhb
2023-09-27 09:11:40.039576,2023-09-27 09:26:59.810711,cmdhb
2023-09-27 09:26:59.831236,2023-09-27 09:45:32.682486,cmdhb
2023-09-27 09:45:32.748503,2023-09-27 11:12:49.464923,vikin
2023-09-27 11:12:49.492395,2023-09-27 11:28:33.434692,vikin
2023-09-27 11:28:33.454205,2023-09-27 11:58:38.899487,viking
2023-09-27 11:58:38.908487,2023-09-27 13:29:45.373393,leo lunch
2023-09-27 13:29:45.387393,2023-09-27 13:44:49.330409,leo lunch
2023-09-27 13:44:49.344400,2023-09-27 13:59:50.632510,leo lunch
2023-09-27 13:59:50.660006,2023-09-27 14:18:49.599087,leo lunch
2023-09-27 14:18:49.613151,2023-09-27 14:41:04.890728,leo lunch
2023-09-27 14:41:04.902248,2023-09-27 14:57:00.185745,cmdhb fins
2023-09-27 14:57:00.198263,2023-09-27 15:20:09.513643,cmdhb fins
2023-09-27 15:20:09.526086,2023-09-27 15:36:28.028186,cmdhb fins
2023-09-27 17:58:00.555390,2023-09-27 17:58:00.713674,
2023-09-27 17:58:00.713674,2023-09-28 12:57:25.908308,mpi meeting
