start,finish,task
2023-10-13 16:01:39.550477,2023-10-16 08:31:58.550999,admin 
2023-10-16 08:31:58.568241,2023-10-16 08:46:59.744378,admin 
2023-10-16 08:46:59.765888,2023-10-16 09:02:07.547275,hangar
2023-10-16 09:02:07.559761,2023-10-16 10:24:23.064223,hangar
2023-10-16 10:24:23.079731,2023-10-16 10:39:24.569135,hangar
2023-10-16 10:39:24.587839,2023-10-16 10:56:00.826169,hangar
2023-10-16 10:56:00.837170,2023-10-16 11:11:44.337989,mpi design meeting
2023-10-16 11:11:44.351650,2023-10-16 11:26:50.394957,mpi design meeting
2023-10-16 11:26:50.407044,2023-10-16 11:41:53.860007,mpi design meeting
2023-10-16 11:41:53.878041,2023-10-16 11:57:00.010326,timesheet
2023-10-16 11:57:00.023335,2023-10-16 12:20:24.626325,timesheet
2023-10-16 12:20:24.638507,2023-10-16 12:35:25.332802,timesheet
2023-10-16 12:35:25.348828,2023-10-16 13:15:18.436795,lunch
2023-10-16 13:15:18.458813,2023-10-16 13:30:49.322935,lunch
2023-10-16 13:30:49.336447,2023-10-16 13:45:53.801604,website
2023-10-16 13:45:53.812124,2023-10-17 10:50:34.603221,ironbank'
2023-10-17 10:50:34.614052,2023-10-17 11:05:35.801690,ironbank'
2023-10-17 11:05:35.825209,2023-10-17 11:25:24.937074,ironbank'
2023-10-17 11:25:24.949072,2023-10-17 11:40:37.950359,ironbank'
2023-10-17 11:40:37.962365,2023-10-17 11:55:41.319790,ironbank'
2023-10-17 11:55:41.330790,2023-10-17 12:33:00.599358,ironbank'
2023-10-17 12:33:00.608871,2023-10-17 13:20:04.119912,ironbank
2023-10-17 13:20:04.131984,2023-10-17 13:35:06.822652,ironbank
2023-10-17 13:35:06.834160,2023-10-17 14:18:11.036509,ironbank
2023-10-17 14:18:11.057339,2023-10-17 14:34:53.302197,ironbank
2023-10-17 14:34:53.312496,2023-10-17 14:50:05.462865,mpi
2023-10-17 14:50:05.476383,2023-10-18 10:09:52.358902,cmdhb
2023-10-18 10:09:52.371901,2023-10-18 10:24:55.135909,cmdhb
2023-10-18 10:24:55.164529,2023-10-18 10:40:05.232889,github
2023-10-18 10:49:57.504147,2023-10-18 10:49:57.541918,
2023-10-18 10:49:57.557554,2023-10-18 11:05:01.985541,github
2023-10-18 11:05:02.010989,2023-10-18 11:20:03.450633,github
2023-10-18 11:20:03.464185,2023-10-18 11:35:05.078189,github
2023-10-18 11:35:05.090154,2023-10-18 12:33:05.723517,aag
2023-10-18 12:33:05.736032,2023-10-18 12:48:39.025342,aag
2023-10-18 12:48:39.049941,2023-10-18 13:03:45.224784,aag
2023-10-18 13:03:45.248323,2023-10-18 13:24:38.421404,aag
2023-10-18 13:24:38.437471,2023-10-18 13:55:08.714771,thermal
2023-10-18 13:55:08.728771,2023-10-18 14:10:09.963879,thermal
2023-10-18 14:10:09.979395,2023-10-18 14:40:21.432533,mpi greenstar
2023-10-18 14:40:21.462644,2023-10-18 14:55:23.987941,mpi greenstar
2023-10-18 14:55:24.015191,2023-10-18 15:10:25.633831,mpi greenstar
2023-10-18 15:10:25.668828,2023-10-18 15:25:26.815152,mpi greenstar
2023-10-18 15:25:26.847806,2023-10-18 15:40:28.139430,mpi greenstar
2023-10-18 15:40:28.219081,2023-10-18 15:58:04.845618,mpi greenstar
2023-10-18 15:58:04.874344,2023-10-19 08:09:47.727954,mpi greenstar
2023-10-19 08:09:47.754068,2023-10-19 08:24:58.436405,curtain wall qa
2023-10-19 08:24:58.449286,2023-10-19 08:46:50.160973,curtain wall qa
2023-10-19 08:46:50.177491,2023-10-20 13:21:21.945477,aag
2023-10-20 13:21:21.963981,2023-10-20 13:42:00.203032,aag
2023-10-20 13:42:00.221496,2023-10-20 13:57:04.062773,aag
2023-10-20 13:57:04.078251,2023-10-20 14:12:06.594740,aag
2023-10-20 14:12:06.609942,2023-10-20 14:27:27.516823,aag
