start,finish,task
2023-05-29 10:00:09.258453,2023-05-29 10:00:09.278266,
2023-05-29 10:00:09.279270,2023-05-29 10:18:09.405145,coffe
2023-05-29 10:18:09.418700,2023-05-29 10:33:11.921730,coffe
2023-05-29 10:33:11.938764,2023-05-29 10:48:14.231038,coffe
2023-05-29 10:48:14.247064,2023-05-29 11:03:18.873847,ironbank
2023-05-29 11:03:18.884895,2023-05-29 11:18:57.342865,ironbank
2023-05-29 11:18:57.351394,2023-05-29 11:49:04.706397,ironbank
2023-05-29 11:49:04.718951,2023-05-29 12:04:08.896694,ironbank
2023-05-29 12:04:08.908689,2023-05-29 12:34:11.203940,ironbank
2023-05-29 12:34:11.214936,2023-05-29 15:15:59.060272,sbr curved panels
2023-05-29 15:15:59.071067,2023-05-29 15:31:00.804017,sbr curved panels
2023-05-29 15:31:00.817717,2023-05-29 15:47:41.181388,sbr curved panels
2023-05-29 15:47:41.206904,2023-05-29 16:02:58.641404,sbr curved panels
2023-05-29 16:02:58.656377,2023-05-29 16:18:03.117522,sbr curved panels
2023-05-29 16:18:03.129525,2023-05-29 16:33:05.365385,sbr curved panels
2023-05-29 16:33:05.375380,2023-05-29 16:48:08.690863,sbr curved panels
2023-05-29 16:48:08.702854,2023-05-29 17:18:11.863209,sbr curved panels
2023-05-29 17:18:11.875698,2023-05-30 09:14:49.287562,late
2023-05-30 09:14:49.299529,2023-05-30 09:44:56.994979,misc
2023-05-30 09:44:57.006977,2023-05-30 10:00:00.058624,misc
2023-05-30 10:00:00.069589,2023-05-30 11:47:54.234646,misc
2023-05-30 11:47:54.243646,2023-05-30 12:02:56.810603,misc
2023-05-30 12:02:56.821600,2023-05-30 12:35:22.883621,st marks
2023-05-30 12:35:22.909622,2023-05-30 13:35:24.401027,st marks
2023-05-30 13:35:24.422345,2023-05-30 13:52:58.310532,st marks
2023-05-30 13:52:58.327053,2023-05-30 14:08:00.834919,st marks
2023-05-30 14:08:00.845913,2023-05-30 14:23:02.930052,st marks
