start,finish,task
2023-06-10 18:01:42.392112,2023-06-12 09:20:54.482024,aag
2023-06-12 09:20:54.494026,2023-06-12 09:41:42.690661,aag
2023-06-12 09:41:42.722193,2023-06-12 15:51:26.858134,onco
2023-06-12 15:51:26.871134,2023-06-12 16:10:26.932450,onco
2023-06-12 16:10:26.948455,2023-06-12 16:25:34.643466,onco
2023-06-12 16:25:34.657463,2023-06-12 17:02:09.872857,onco
2023-06-13 09:01:33.266962,2023-06-13 09:01:33.874961,
2023-06-13 09:01:33.881963,2023-06-13 09:30:42.313812,mpi dcls
2023-06-13 09:30:42.327813,2023-06-13 10:39:55.716371,mpi dcls
2023-06-13 10:39:55.742886,2023-06-13 10:54:56.324517,mpi dcls
2023-06-13 10:54:56.335515,2023-06-13 11:28:34.784807,mpi dcls
2023-06-13 11:28:34.842802,2023-06-13 11:43:43.230332,aag
2023-06-13 11:43:43.252885,2023-06-13 11:58:48.123373,aag
2023-06-13 11:58:48.139377,2023-06-13 12:13:57.926788,sbr kr
2023-06-13 12:13:57.945712,2023-06-13 12:29:19.878606,sbr kr
2023-06-13 12:29:19.911124,2023-06-13 12:51:09.733970,sbr kr
2023-06-13 12:51:09.755493,2023-06-13 13:25:06.115520,sbr kr
2023-06-13 13:25:06.128520,2023-06-13 13:52:21.807381,sbr kr
2023-06-13 13:52:21.824346,2023-06-13 14:44:30.446948,officew selection
2023-06-13 14:44:30.461946,2023-06-13 14:59:33.534572,officew selection
2023-06-13 14:59:33.551646,2023-06-13 15:14:35.157191,officew selection
2023-06-13 15:14:35.182774,2023-06-13 15:29:38.501251,officew selection
2023-06-13 15:29:38.516914,2023-06-13 15:44:42.440596,officew selection
2023-06-13 15:44:42.454600,2023-06-14 11:47:12.055257,hnger - efte drawgins
2023-06-14 11:47:12.076264,2023-06-14 12:02:13.959858,hnger - efte drawgins
2023-06-14 12:02:13.979860,2023-06-14 12:17:16.784910,hnger - efte drawgins
2023-06-14 12:17:16.808902,2023-06-14 12:32:27.774353,hnger - efte drawgins
2023-06-14 12:32:27.800347,2023-06-14 13:35:22.247371,hnger - efte drawgins
2023-06-14 13:35:22.270368,2023-06-14 13:50:25.010421,hnger - efte drawgins
2023-06-14 13:50:25.034418,2023-06-14 14:05:27.144672,hnger - efte drawgins
2023-06-14 14:05:27.167667,2023-06-14 14:20:29.239140,hnger - efte drawgins
2023-06-14 14:20:29.257144,2023-06-14 15:11:14.752492,hnger - efte drawgins
2023-06-14 15:11:14.779508,2023-06-14 15:26:17.073908,hnger - efte drawgins
2023-06-14 15:26:17.096916,2023-06-14 15:41:20.214075,hnger - efte drawgins
2023-06-14 15:41:20.241715,2023-06-14 16:26:28.881014,hnger - arch drawgins
2023-06-14 16:26:28.901012,2023-06-14 16:41:34.271147,aag
2023-06-14 16:41:34.286150,2023-06-14 16:57:08.632166,aag
2023-06-14 16:57:08.652909,2023-06-16 09:51:41.143062,aag
2023-06-16 09:51:41.155061,2023-06-16 10:06:53.108167,aag
2023-06-16 10:06:53.120185,2023-06-16 10:12:39.208700,victopia
2023-06-16 10:12:39.222666,2023-06-16 10:32:17.064288,victopia
2023-06-16 10:32:17.080110,2023-06-16 10:47:33.730739,victopia
2023-06-16 10:47:33.745739,2023-06-16 11:02:36.625256,victopia
2023-06-16 11:02:36.663845,2023-06-16 13:17:36.694275,victopia
2023-06-16 13:17:36.710277,2023-06-16 13:32:46.577714,victopia
2023-06-16 13:32:46.594713,2023-06-16 13:47:50.023592,victopia
2023-06-16 13:47:50.049601,2023-06-16 14:17:30.015962,timesheet
2023-06-16 14:17:30.032960,2023-06-16 14:32:33.493840,timesheet
2023-06-16 14:32:33.507807,2023-06-16 14:47:44.690908,timesheet
