start,finish,task
2023-05-22 09:27:42.545430,2023-05-22 09:27:42.736444,
2023-05-22 09:27:42.737430,2023-05-22 09:59:15.883883,aag lead
2023-05-22 09:59:15.898892,2023-05-22 10:14:18.491912,aag lead
2023-05-22 10:14:18.506914,2023-05-22 10:29:23.695215,hangr
2023-05-22 10:29:23.708216,2023-05-22 13:19:57.490577, mpi
2023-05-22 13:19:57.506732,2023-05-22 14:04:28.117579,lunch
2023-05-22 14:04:28.133580,2023-05-22 14:19:31.874851,lunch
2023-05-22 14:19:31.889847,2023-05-22 14:49:34.269444,lunch
2023-05-22 14:49:34.287452,2023-05-22 15:04:45.326601,whang wind
2023-05-22 15:04:45.342608,2023-05-22 15:19:47.462233,whang wind
2023-05-22 15:19:47.479236,2023-05-22 15:37:24.271116,whang wind
2023-05-22 15:37:24.294145,2023-05-22 15:52:26.665497,whang wind
2023-05-22 15:52:26.682504,2023-05-22 16:07:46.924673,whang wind
2023-05-22 16:07:46.939689,2023-05-23 09:54:23.826146,just late
2023-05-23 09:54:24.770549,2023-05-23 10:09:29.084274,aag
2023-05-23 10:09:29.107273,2023-05-23 10:24:40.866693,aag
2023-05-23 10:24:40.889697,2023-05-23 10:46:28.228508,aag
2023-05-23 10:46:28.242508,2023-05-23 11:16:30.668800,aag
2023-05-23 11:16:30.687326,2023-05-23 11:31:37.416491,mpi
2023-05-23 11:31:37.431489,2023-05-23 11:46:40.387504,mpi
2023-05-23 11:46:40.405507,2023-05-23 12:01:42.284402,mpi
2023-05-23 12:01:42.304134,2023-05-23 12:16:44.920955,mpi
2023-05-23 12:16:44.938255,2023-05-23 12:31:47.602284,mpi
2023-05-23 12:31:47.619321,2023-05-23 13:28:12.571612,mpi
2023-05-23 13:28:12.585607,2023-05-23 13:43:15.565993,mpi
2023-05-23 13:43:15.580993,2023-05-23 13:58:17.356518,mpi
2023-05-23 13:58:17.374521,2023-05-23 14:13:23.027032,aag
2023-05-23 14:13:23.046043,2023-05-23 14:28:24.896978,aag
2023-05-23 14:28:24.915502,2023-05-24 09:16:16.810166,aag
2023-05-24 09:16:16.820166,2023-05-24 09:41:15.602716,aag
2023-05-24 09:41:15.618458,2023-05-24 09:56:17.580977,aag
2023-05-24 09:56:17.594508,2023-05-24 10:41:35.841276,aag
2023-05-24 10:41:35.855296,2023-05-24 11:14:10.299262,braeden weather
2023-05-24 11:14:10.315790,2023-05-24 11:40:32.407044,rolleston louvre
2023-05-24 11:40:32.424576,2023-05-24 12:04:47.904188,rolleston louvre
2023-05-24 12:04:47.918317,2023-05-24 12:36:51.267888,rtable
2023-05-24 12:36:51.299516,2023-05-24 13:09:37.691347,rtable
2023-05-24 13:09:37.729879,2023-05-24 14:09:25.176520,rtable
2023-05-24 14:09:25.207886,2023-05-24 14:39:27.584077,rtable
2023-05-24 14:39:27.602599,2023-05-24 14:54:29.858829,rtable
2023-05-24 14:54:29.876878,2023-05-24 15:09:45.181822,bellagio
2023-05-24 15:09:45.221576,2023-05-24 16:09:48.262571,bellagio
2023-05-24 16:09:48.295214,2023-05-24 16:24:51.800908,bellagio
2023-05-24 16:24:51.842771,2023-05-24 16:40:03.000274,bellagio
2023-05-24 16:40:03.034503,2023-05-24 17:10:04.912433,bellagio
