start,finish,task
2023-03-06 09:20:12.765017,2023-03-06 09:20:14.951015,
2023-03-06 09:20:14.951015,2023-03-06 09:35:18.774010,admin
2023-03-06 09:35:18.784009,2023-03-06 09:52:23.928249,aag - sealant. email to sika
2023-03-06 09:52:23.938250,2023-03-06 10:07:31.107683,aag - bellagio
2023-03-06 10:07:31.120126,2023-03-06 10:29:06.777941,coffee
2023-03-06 10:29:06.788950,2023-03-06 11:47:51.978212,aag internal meeting on consent queires
2023-03-06 11:47:51.995237,2023-03-06 12:18:16.862321,aag internal meeting on consent queires
2023-03-06 12:18:16.876318,2023-03-06 12:33:50.908460,lunch
2023-03-06 12:33:50.922028,2023-03-06 12:48:56.876772,aag can
2023-03-06 12:48:56.885771,2023-03-06 13:04:07.335090,aag can
2023-03-06 13:04:07.347093,2023-03-06 13:19:13.996753,sbr gurit
2023-03-06 13:19:14.007752,2023-03-06 13:34:18.579357,sbr gurit
2023-03-06 13:34:18.600359,2023-03-06 13:49:25.933610,sbr gurit
2023-03-06 13:49:25.946620,2023-03-06 14:04:43.567542,sbr gurit
2023-03-06 14:04:43.577543,2023-03-06 14:19:50.629974,sbr gurit
2023-03-06 14:19:50.641971,2023-03-06 14:34:54.358783,sbr gurit
2023-03-06 14:34:54.378773,2023-03-06 14:49:58.576978,sbr gurit
2023-03-06 14:49:58.597973,2023-03-06 15:20:05.101658,aag
2023-03-06 15:20:05.120155,2023-03-06 15:37:33.266401,aag2.52
2023-03-06 15:37:33.284366,2023-03-06 15:52:35.349997,aag
2023-03-06 15:52:35.365996,2023-03-06 16:08:32.940395,gurit
2023-03-06 16:08:32.956402,2023-03-06 16:38:40.638744,admin
2023-03-07 11:43:18.612542,2023-03-07 11:43:18.774541,
2023-03-07 11:43:18.778543,2023-03-07 11:58:21.927049,bellagio
2023-03-07 11:58:21.936053,2023-03-07 12:47:44.208814,lunch
2023-03-07 12:47:44.225814,2023-03-07 13:02:45.812497,lunch
2023-03-07 13:02:45.826498,2023-03-07 13:17:55.248941,hobson
2023-03-07 13:17:55.258942,2023-03-07 13:34:52.813776,hobson
2023-03-07 13:34:52.823779,2023-03-07 13:49:55.436038,hobson
2023-03-07 13:49:55.448036,2023-03-07 14:05:53.391671,hobson
2023-03-07 14:05:53.402669,2023-03-07 14:21:20.043605,hobson
2023-03-07 14:21:20.054597,2023-03-07 14:40:29.167882,hobson
2023-03-08 09:07:30.086764,2023-03-08 09:07:32.243744,
2023-03-08 09:07:32.362738,2023-03-08 09:22:38.074962,aag zinc
2023-03-08 09:22:38.087958,2023-03-08 09:41:00.589948,aag zinc
2023-03-08 09:41:00.602947,2023-03-08 09:56:33.511052,mpi prep
2023-03-08 09:56:33.528847,2023-03-08 10:11:39.307476,mpi meeting
2023-03-08 10:11:39.326467,2023-03-08 10:27:55.067566,mpi meeting
2023-03-08 10:27:55.090572,2023-03-08 10:48:12.199863,mpi meeting
2023-03-08 10:48:12.211864,2023-03-08 11:18:17.823388,hobson
2023-03-08 11:18:17.835391,2023-03-08 11:33:33.766517,hobson
2023-03-08 11:33:33.776518,2023-03-08 11:48:34.914625,hobson
2023-03-08 11:48:34.922627,2023-03-08 12:03:38.185028,hobson
2023-03-08 12:03:38.198026,2023-03-08 12:18:38.589653,hobson
2023-03-08 12:18:38.601649,2023-03-08 12:33:51.949251,mpi
2023-03-08 12:33:51.976993,2023-03-08 12:51:57.263423,dunno
2023-03-08 12:51:57.277430,2023-03-08 13:07:04.179771,mpi meeting
2023-03-08 13:07:04.204777,2023-03-08 13:22:07.049112,mpi meeting
2023-03-08 13:22:07.067856,2023-03-08 13:37:10.136418,mpi meeting
2023-03-08 13:37:10.158416,2023-03-08 13:52:15.509668,mpi meeting
2023-03-08 13:52:15.528658,2023-03-08 16:50:56.224901,mpi glazing
2023-03-09 17:31:12.408256,2023-03-09 17:31:12.498250,
2023-03-09 17:31:12.499250,2023-03-10 08:40.25
2023-03-10 10:13:44.027565,2023-03-10 10:28:48.711946,mpi
2023-03-10 10:31:25.445466,2023-03-10 10:31:25.653464,
2023-03-10 10:31:25.654462,2023-03-10 10:46:30.009506,mpi
2023-03-10 10:46:30.029681,2023-03-10 11:01:32.747127,mpi
2023-03-10 11:01:32.755128,2023-03-10 11:31:39.686269,meeting
2023-03-10 11:31:39.698273,2023-03-10 11:46:41.757793,meeting
2023-03-10 11:46:41.783800,2023-03-10 12:02:15.378773,meeting
2023-03-10 12:02:15.390773,2023-03-10 12:17:55.112135,meeting
2023-03-10 12:17:55.124132,2023-03-10 12:32:57.307064,meeting
2023-03-10 12:32:57.321067,2023-03-10 12:48:00.894219,meeting
2023-03-10 12:48:00.907227,2023-03-10 13:20:11.013710,meeting
2023-03-10 13:20:11.025705,2023-03-10 13:37:59.377154,lunch
2023-03-10 13:37:59.390156,2023-03-10 13:53:03.550066,bellagio
2023-03-10 13:53:03.563061,2023-03-10 14:08:09.045199,bellagio
2023-03-10 14:08:09.059162,2023-03-10 14:31:01.408226,bellagio
2023-03-10 14:31:01.421225,2023-03-10 14:46:16.481665,chat with ben\
2023-03-10 14:46:16.493671,2023-03-10 16:16:19.083130,chat with ben\
2023-03-10 16:16:19.099128,2023-03-10 16:56:10.564387,mpi
2023-03-10 16:56:10.597385,2023-03-10 17:11:16.374280,mpi
