start,finish,task
2023-02-07 09:13:21.061240,2023-02-07 09:13:21.197243,
2023-02-07 09:13:21.197243,2023-02-07 09:28:25.856987,sbr fold
2023-02-07 09:28:25.864989,2023-02-07 09:44:02.353169,sbr fold
2023-02-07 09:44:02.361171,2023-02-07 09:59:06.130845,sbr fold
2023-02-07 09:59:06.142205,2023-02-07 10:14:09.295895,sbr fold
2023-02-07 10:14:09.306895,2023-02-07 10:33:01.288409,coffee
7.5
2023-02-08 02:06:38.597651,2023-02-08 02:06:38.692617,
2023-02-08 02:06:38.693617,2023-02-08 09:03:10.725120,admin
2023-02-08 09:03:10.746474,2023-02-08 09:18:13.852160,admin
2023-02-08 09:18:13.866161,2023-02-08 09:33:18.590495,sbr
2023-02-08 09:33:18.602500,2023-02-08 09:48:20.876280,sbr
2023-02-08 09:48:20.887244,2023-02-08 10:03:22.908284,sbr
2023-02-08 10:03:22.922285,2023-02-08 10:18:27.945657,sbr
2023-02-08 10:18:27.962821,2023-02-08 10:41:13.989601,coffee
2023-02-08 10:41:14.000559,2023-02-08 10:56:17.822422,sbr
2023-02-08 10:56:17.851499,2023-02-08 11:11:27.035866,sbr
2023-02-08 11:11:27.047866,2023-02-08 11:26:28.662960,sbr
2023-02-08 11:26:28.677963,2023-02-08 11:41:33.001344,mpi
2023-02-08 11:41:33.013082,2023-02-08 11:56:34.442990,mpi
2023-02-08 11:56:34.456993,2023-02-08 12:11:36.488410,mpi
2023-02-08 12:11:36.502377,2023-02-08 12:26:37.313411,mpi
2023-02-08 12:26:37.331419,2023-02-08 12:41:39.622952,mpi
2023-02-08 12:41:39.636508,2023-02-08 12:56:39.749393,mpi
2023-02-08 12:56:39.762381,2023-02-08 13:11:41.885138,mpi
2023-02-08 13:11:41.900148,2023-02-08 13:28:02.597860,mpi
2023-02-08 13:28:02.619856,2023-02-08 13:43:04.934197,mpi
2023-02-08 13:43:04.952200,2023-02-08 14:13:06.878231,mpi
2023-02-08 14:13:06.894238,2023-02-08 14:28:09.913912,mpi
2023-02-08 14:28:09.927915,2023-02-08 14:43:11.546018,mpi
2023-02-08 14:43:11.558018,2023-02-08 14:58:31.845158,mpi
2023-02-08 14:58:31.857158,2023-02-08 15:13:34.534710,mpi
2023-02-08 15:13:34.565207,2023-02-08 15:28:36.309885,mpi
2023-02-08 15:28:36.325886,2023-02-08 16:18:51.491389,mpi
2023-02-08 16:18:51.515390,2023-02-08 16:33:52.868635,mpi
2023-02-08 16:33:52.892635,2023-02-08 16:48:54.687156,mpi
2023-02-08 16:48:54.707165,2023-02-08 17:19:31.126126,mpi
2023-02-08 17:19:31.142122,2023-02-10 08:48:39.592491,mpi
2023-02-10 08:48:39.603495,2023-02-10 09:18:44.691696,timesheet
2023-02-10 09:18:44.705699,2023-02-10 09:33:50.889794,timesheet
2023-02-10 09:33:50.902020,2023-02-10 11:14:37.335311,timesheet
2023-02-11 09:07:05.285045,2023-02-11 09:07:05.658043,
2023-02-11 09:07:05.680079,2023-02-11 10:18:42.235694,b
2023-02-11 10:18:42.252755,2023-02-11 13:41:59.550406,b
2023-02-11 13:41:59.566371,2023-02-12 11:12:03.817633,b
