start,finish,task
2023-05-15 09:04:59.179750,2023-05-15 09:04:59.218752,
2023-05-15 09:04:59.218752,2023-05-15 09:20:04.721106,SBR shear
2023-05-15 09:20:04.736075,2023-05-15 09:35:11.004642,SBT shear
2023-05-15 09:35:11.020337,2023-05-15 09:54:29.696760,SBT shear
2023-05-15 09:54:29.724780,2023-05-15 10:09:31.965063,SBT shear
2023-05-15 10:09:31.980434,2023-05-15 10:24:35.748630,aag
2023-05-15 10:24:35.766638,2023-05-15 10:39:39.816359,SBR
2023-05-15 10:39:39.837360,2023-05-15 10:54:45.595901,sbr shear
2023-05-15 10:54:45.612981,2023-05-15 11:09:47.878731,eahr 
2023-05-15 11:09:47.898731,2023-05-15 11:24:52.320917,eahr 
2023-05-15 11:24:52.334916,2023-05-15 11:40:19.065617,walk
2023-05-15 11:40:19.083625,2023-05-15 11:58:28.684020,sbr
2023-05-15 11:58:28.702021,2023-05-15 12:13:33.430004,fusion
2023-05-15 12:13:33.442016,2023-05-15 12:28:34.811271,fusion
2023-05-15 12:28:34.827277,2023-05-15 12:43:35.548865,fusion
2023-05-15 12:43:35.565880,2023-05-15 12:58:39.201760,fusion
2023-05-15 12:58:39.217014,2023-05-15 13:41:53.867323,fusion
2023-05-15 13:41:53.887325,2023-05-15 13:56:57.601462,fusion
2023-05-15 13:56:57.624470,2023-05-15 14:14:44.737465,sbr
2023-05-15 14:14:44.756468,2023-05-15 14:29:47.280384,sbr
2023-05-15 14:29:47.295472,2023-05-15 14:44:50.098804,sbr
2023-05-15 14:44:50.120832,2023-05-15 15:10:30.389045,sbr
2023-05-15 15:10:30.407069,2023-05-15 15:25:35.358566,google
2023-05-15 15:25:35.375564,2023-05-15 15:40:39.146369,google
2023-05-15 15:40:39.159379,2023-05-15 15:55:45.463440,google
2023-05-15 15:55:45.480455,2023-05-15 16:10:48.381459,google
2023-05-15 16:10:48.397472,2023-05-15 16:55:50.950057,google
2023-05-15 16:55:50.965066,2023-05-16 09:36:34.055905,hanagar
2023-05-16 09:36:34.325561,2023-05-16 09:51:36.672545,hanagar
2023-05-16 09:51:36.686544,2023-05-16 10:06:39.005165,hanagar
2023-05-16 10:06:39.020166,2023-05-16 10:38:43.532135,coffee
2023-05-16 10:38:43.580131,2023-05-16 11:13:28.067525,coffee
2023-05-16 11:13:28.097543,2023-05-16 11:28:33.880405,coffee
2023-05-16 11:28:33.899409,2023-05-16 11:43:36.085682,coffee
2023-05-16 11:43:36.102642,2023-05-16 11:58:44.730080,WIND STUFF
2023-05-16 11:58:44.746083,2023-05-16 12:13:51.217579,WIND STUFF
2023-05-16 12:13:51.234587,2023-05-16 12:29:57.231637,WIND STUFF
2023-05-16 12:29:57.253648,2023-05-16 12:47:32.981714,WIND STUFF
2023-05-16 12:47:33.002712,2023-05-16 13:02:37.678182,WIND STUFF
2023-05-16 13:02:37.699492,2023-05-16 13:17:39.054056,WIND STUFF
2023-05-16 13:17:39.072050,2023-05-16 13:32:41.627438,WIND STUFF
2023-05-16 13:32:41.648424,2023-05-16 13:47:43.781960,WIND STUFF
2023-05-16 13:47:43.795923,2023-05-16 14:02:45.413497,WIND STUFF
2023-05-16 14:02:45.434470,2023-05-16 14:23:53.927781,WIND STUFF
2023-05-16 14:23:53.957781,2023-05-16 15:10:59.394665,bellagio telecom 15mins
2023-05-16 15:10:59.412320,2023-05-16 15:26:02.940089,gust
2023-05-16 15:26:02.958148,2023-05-16 15:41:04.238266,gust
2023-05-16 15:41:04.260260,2023-05-16 15:56:05.989720,gust
2023-05-16 15:56:06.010730,2023-05-16 16:11:24.858009,gust
2023-05-16 16:11:24.882009,2023-05-16 16:41:26.293172,gust
2023-05-17 09:19:51.298024,2023-05-17 09:19:52.668119,
2023-05-17 09:19:52.702117,2023-05-17 09:34:56.368357,sbr
2023-05-17 09:34:56.381461,2023-05-17 09:50:17.070331,fusion
2023-05-17 09:50:17.083329,2023-05-17 10:05:19.515916,fusion
2023-05-17 10:05:19.529918,2023-05-17 10:31:51.812918,flixo
2023-05-17 10:31:51.830443,2023-05-17 10:46:52.468993,5
2023-05-17 10:46:52.483994,2023-05-17 11:02:10.717144,ironbank
2023-05-17 11:02:10.733134,2023-05-17 11:17:14.618680,ironbank
2023-05-17 11:17:14.634409,2023-05-17 11:32:18.980852,ironbank
2023-05-17 11:32:18.996850,2023-05-17 11:48:40.167975,ironbank
2023-05-17 11:48:40.191096,2023-05-17 12:48:17.772155,ironbank
2023-05-17 12:48:17.793670,2023-05-17 13:03:23.822783,flixo
2023-05-17 13:03:23.840844,2023-05-17 13:18:26.194007,flixo
2023-05-17 13:18:26.213509,2023-05-17 13:33:27.661378,flixo
2023-05-17 13:33:27.677380,2023-05-17 14:03:29.847803,flixo
2023-05-17 14:03:29.863806,2023-05-17 14:40:13.832438,flixo
2023-05-17 14:40:13.858440,2023-05-17 14:55:16.774090,flixo
2023-05-17 14:55:16.804606,2023-05-17 15:10:18.290673,flixo
2023-05-17 15:10:18.306690,2023-05-17 15:25:19.568654,flixo
2023-05-17 15:25:19.596192,2023-05-17 15:40:21.196050,flixo
2023-05-17 15:40:21.214054,2023-05-18 09:24:51.468363,marketing etfe
2023-05-18 09:24:51.800127,2023-05-18 09:39:57.061771,marketing etfe1.5
2023-05-18 09:39:57.082771,2023-05-18 09:55:08.079806,simscale
2023-05-18 09:55:08.094809,2023-05-18 10:20:50.627705,coff
2023-05-18 10:20:50.645719,2023-05-18 10:35:54.401750,coff
2023-05-18 10:35:54.420757,2023-05-18 10:51:00.499692,sbr
2023-05-18 10:51:00.520704,2023-05-18 11:28:21.167773,aag rfi splatting
