start,finish,task
2024-01-19 15:56:58.545585,2024-01-22 09:53:53.240299,reference
2024-01-22 10:02:25.908493,2024-01-22 10:02:25.955943,
2024-01-22 10:02:25.955943,2024-01-22 10:17:38.673479,meh
2024-01-22 10:17:38.687479,2024-01-22 10:32:45.838074,meh
2024-01-22 10:32:45.868121,2024-01-22 10:47:48.900560,meh
2024-01-22 10:54:56.653034,2024-01-22 10:54:56.779672,
2024-01-22 10:54:56.779672,2024-01-22 16:17:31.820108,mpi
2024-01-22 16:17:31.832625,2024-01-22 16:33:24.334193,mpi
2024-01-22 16:33:24.345714,2024-01-22 16:48:27.814643,mpi
2024-01-22 16:48:27.828805,2024-01-23 08:58:28.046982,mpi
2024-01-23 08:58:28.056494,2024-01-23 09:13:30.479129,mpi
2024-01-23 09:13:30.504652,2024-01-23 09:28:31.815595,mpi
2024-01-23 09:28:31.830289,2024-01-23 10:17:55.804426,mpi
2024-01-23 10:17:55.820008,2024-01-23 10:33:01.437494,mpi
2024-01-23 10:33:01.455528,2024-01-23 11:03:04.325924,mpi
2024-01-23 11:03:04.352445,2024-01-23 11:18:08.870479,mpi
2024-01-23 11:28:40.290004,2024-01-23 11:28:40.450008,
2024-01-23 11:28:40.450008,2024-01-23 14:28:45.908547,stuff
2024-01-23 14:28:45.918547,2024-01-23 14:43:47.576473,stuff
2024-01-23 14:43:47.587479,2024-01-23 14:58:52.056200,stuff
2024-01-23 14:58:52.068204,2024-01-23 15:20:17.214221,stuff
2024-01-23 15:20:17.226735,2024-01-23 15:35:20.291427,stuff
2024-01-23 15:35:20.302425,2024-01-23 15:50:22.458532,stuff
2024-01-23 15:50:22.470499,2024-01-23 16:05:25.117314,stuff
2024-01-23 16:05:25.131317,2024-01-24 10:37:26.694941,stuff
2024-01-24 10:37:26.707908,2024-01-24 10:52:27.997508,stuff
2024-01-24 10:52:28.007507,2024-01-24 11:37:31.039865,stuff
2024-01-24 12:10:52.624779,2024-01-24 12:10:52.692779,
2024-01-24 12:10:52.716779,2024-01-24 12:25:56.693798,walk
2024-01-24 12:25:56.706800,2024-01-24 13:18:58.477749,aag
2024-01-24 13:18:58.487751,2024-01-24 13:42:17.525832,aag
2024-01-24 13:42:17.539797,2024-01-24 13:58:23.968022,aag
2024-01-24 13:58:23.982024,2024-01-24 14:13:25.944117,aag
2024-01-26 09:14:49.948523,2024-01-26 09:14:50.432865,
2024-01-26 09:14:50.432865,2024-01-26 11:45:15.114607,thi
2024-01-26 11:45:15.153609,2024-01-26 12:04:46.629089,thi
2024-01-26 12:04:46.647091,2024-01-26 12:34:49.101630,thi
2024-01-26 12:34:49.116781,2024-01-26 12:49:50.777807,thi
2024-01-26 12:49:50.788807,2024-01-26 13:05:02.691331,thi
2024-01-26 13:05:02.709351,2024-01-26 13:20:48.286055,thi
2024-01-26 13:20:48.300017,2024-01-26 13:52:58.504857,thi
2024-01-26 13:52:58.517860,2024-01-26 14:08:00.687598,thi
2024-01-26 14:08:00.701387,2024-01-26 14:23:03.019158,thi
2024-01-26 14:23:03.032676,2024-01-26 15:19:16.667005,thi
2024-01-26 15:19:16.680007,2024-01-26 15:34:17.233674,thi
2024-01-26 15:34:17.247676,2024-01-26 15:49:18.687341,thi
2024-01-26 15:49:18.703328,2024-01-26 16:04:23.269757,thi
2024-01-26 16:04:23.282754,2024-01-26 16:19:24.692514,thi
2024-01-26 16:19:24.703472,2024-01-26 16:34:29.581613,thi
2024-01-26 16:34:29.596614,2024-01-26 16:52:52.307713,thi
