start,finish,task
2023-09-18 08:57:33.790170,2023-09-18 08:57:34.031667,
2023-09-18 08:57:34.032663,2023-09-18 09:27:40.433618,SBR
2023-09-18 09:27:40.444130,2023-09-18 09:46:38.100068,SBR
2023-09-18 09:46:38.112074,2023-09-18 10:01:40.639628,SBR
2023-09-18 10:01:40.650628,2023-09-18 10:16:42.234721,SBR
2023-09-18 10:16:42.245727,2023-09-18 10:37:35.699217,SBR
2023-09-18 10:37:35.715218,2023-09-18 10:52:38.225919,SBR
2023-09-18 10:52:38.237919,2023-09-18 11:09:42.912811,SBR
2023-09-18 11:09:42.922822,2023-09-18 11:29:18.937951,SBR
2023-09-18 11:29:18.947950,2023-09-18 11:49:24.906312,SBR
2023-09-18 11:49:24.917183,2023-09-18 12:19:27.573985,SBR
2023-09-18 12:19:27.583766,2023-09-18 13:12:26.964696,SBR
2023-09-18 13:12:26.979697,2023-09-18 13:27:28.552578,SBR
2023-09-18 13:27:28.561575,2023-09-18 13:42:31.034700,SBR
2023-09-18 13:42:31.044700,2023-09-18 13:57:33.783364,SBR
2023-09-18 13:57:33.796358,2023-09-18 14:12:35.405589,SBR
2023-09-18 14:12:35.418581,2023-09-18 14:27:36.813475,SBR
2023-09-18 14:27:36.824482,2023-09-18 14:46:10.840467,SBR
2023-09-18 14:46:10.855467,2023-09-18 15:01:14.588666,SBR
2023-09-18 15:01:14.600661,2023-09-18 15:16:20.551240,template
2023-09-18 15:16:20.563242,2023-09-18 15:31:21.932236,template
2023-09-18 15:31:21.954768,2023-09-18 15:46:22.867603,template
2023-09-18 15:46:22.877604,2023-09-18 16:02:04.686711,template
2023-09-18 16:02:04.710386,2023-09-18 16:17:09.144460,play
2023-09-18 16:17:09.157461,2023-09-18 16:32:11.730179,play
2023-09-18 16:32:11.740181,2023-09-18 16:47:13.844186,play
2023-09-18 16:47:13.856189,2023-09-18 17:02:21.544738,play
2023-09-18 17:02:21.555740,2023-09-19 08:11:21.994948,play
2023-09-19 08:11:22.006946,2023-09-19 09:37:06.679434,play
2023-09-19 09:37:06.784967,2023-09-19 10:04:26.881754,play
2023-09-19 10:04:26.892754,2023-09-19 10:04:26.894753,play
2023-09-19 10:04:26.894753,2023-09-19 11:04:43.868465,play
2023-09-19 11:04:43.882433,2023-09-19 11:19:55.209680,aag
2023-09-19 11:19:55.220692,2023-09-19 11:53:50.142862,aag
2023-09-19 11:53:50.159145,2023-09-19 12:08:52.074775,aag
2023-09-19 12:08:52.085929,2023-09-19 12:23:55.789041,aag
2023-09-19 12:23:55.804077,2023-09-19 12:38:57.725697,aag
2023-09-19 12:38:57.738694,2023-09-19 13:25:31.155557,aag
