start,finish,task
2023-04-08 10:28:26.767901,2023-04-10 10:41:50.525244,o
2023-04-10 10:41:50.540243,2023-04-10 11:26:52.606985,o
2023-04-10 11:26:52.619986,2023-04-10 11:41:52.909203,o
2023-04-10 11:41:52.923206,2023-04-10 11:56:55.404719,o
2023-04-10 11:56:55.416717,2023-04-10 12:11:56.977202,o
2023-04-10 12:11:56.989184,2023-04-11 08:48:36.936655,o
2023-04-11 08:48:36.951657,2023-04-11 09:03:38.863211,o
2023-04-11 09:03:38.881213,2023-04-11 09:33:40.541976,o
2023-04-11 09:33:40.554979,2023-04-11 09:48:41.921833,o
2023-04-11 09:48:41.936835,2023-04-11 10:03:48.600540,ironbank
2023-04-11 10:03:48.612546,2023-04-11 10:18:52.851195,ironbank
2023-04-11 10:18:52.863553,2023-04-11 10:33:54.266355,ironbank
2023-04-11 10:33:54.277355,2023-04-11 10:48:56.262695,ironbank
2023-04-11 10:48:56.277154,2023-04-11 11:03:57.489630,ironbank
2023-04-11 11:03:57.502596,2023-04-11 11:18:59.198689,ironbank
2023-04-11 11:18:59.212658,2023-04-11 12:39:17.286816,ironbank
2023-04-11 12:39:17.350783,2023-04-11 12:54:19.099937,ironbank
2023-04-11 12:54:19.117938,2023-04-11 13:09:35.664563,ironbank
2023-04-11 13:09:35.677531,2023-04-11 13:24:37.322795,ironbank
2023-04-11 13:24:37.336783,2023-04-11 13:39:39.533229,ironbank
2023-04-11 13:39:39.546232,2023-04-11 13:54:40.789114,ironbank
2023-04-11 13:54:40.803835,2023-04-11 14:09:43.728318,ironbank
2023-04-11 14:09:43.744343,2023-04-11 14:24:45.161566,ironbank
2023-04-11 14:24:45.180561,2023-04-11 14:39:47.901955,ironbank
2023-04-11 14:39:47.914953,2023-04-11 14:54:52.333047,ironbank
2023-04-11 14:54:52.346043,2023-04-11 15:09:53.736189,ironbank
2023-04-11 15:09:53.747189,2023-04-11 15:24:56.415511,ironbank
2023-04-11 15:24:56.425505,2023-04-11 16:13:17.073195,ironbank
2023-04-11 16:13:17.086927,2023-04-11 16:28:18.561070,ironbank
2023-04-11 16:28:18.569068,2023-04-11 16:43:19.067531,ironbank
2023-04-11 16:43:19.083530,2023-04-11 16:58:20.603848,ironbank
2023-04-12 08:45:18.726973,2023-04-12 08:45:18.971975,
2023-04-12 08:50:29.481843,2023-04-12 08:50:29.749843,
2023-04-12 08:50:29.825843,2023-04-12 09:05:35.441622,ironbank
2023-04-12 09:05:35.455626,2023-04-12 09:20:36.662903,ironbank
2023-04-12 09:20:36.673899,2023-04-12 09:35:40.246459,ironbank
2023-04-12 09:35:40.258417,2023-04-12 09:50:41.545390,ironbank
2023-04-12 09:50:41.558389,2023-04-12 10:05:42.670795,ironbank
2023-04-12 10:05:42.683795,2023-04-12 10:20:57.646050,ironbank
2023-04-12 10:20:57.657019,2023-04-12 10:36:00.787451,ironbank
2023-04-12 10:36:00.797452,2023-04-12 10:51:05.218507,ironbank
2023-04-12 10:51:05.228509,2023-04-12 11:21:06.358534,ironbank
2023-04-12 11:21:06.371529,2023-04-12 11:36:23.089924,ironbank
2023-04-12 11:36:23.102940,2023-04-12 13:06:25.607716,ironbank
2023-04-12 13:06:25.617716,2023-04-12 13:21:27.159557,ironbank
2023-04-12 13:21:27.172557,2023-04-12 13:36:30.505784,ironbank
2023-04-12 13:36:30.515784,2023-04-12 13:51:31.446278,ironbank
2023-04-12 13:51:31.464276,2023-04-12 14:35:03.924150,ironbank
2023-04-12 14:35:03.940159,2023-04-12 14:50:05.552847,ironbank
2023-04-12 14:50:05.564844,2023-04-12 15:05:06.979451,ironbank
2023-04-12 15:05:06.991447,2023-04-12 15:20:08.600753,ironbank
2023-04-12 15:20:08.614755,2023-04-12 15:44:17.059267,ironbank
2023-04-12 15:44:17.073240,2023-04-12 16:01:44.510690,mpi
2023-04-12 16:01:44.535693,2023-04-12 16:31:47.215241,mpi
2023-04-14 09:25:10.002769,2023-04-14 09:25:10.280767,
2023-04-14 09:25:10.327767,2023-04-14 10:57:51.191394,glass canopy
2023-04-14 10:57:51.205395,2023-04-14 11:12:56.548482,meeting
2023-04-14 11:12:56.565611,2023-04-14 11:28:00.261145,meeting
2023-04-14 11:28:00.289721,2023-04-14 11:58:02.021401,meeting
2023-04-14 11:58:02.037500,2023-04-14 12:40:35.910758,meeting
2023-04-14 12:40:35.925759,2023-04-14 12:55:39.504031,sbr
2023-04-14 12:55:39.519345,2023-04-14 13:10:40.858155,sbr
2023-04-14 13:10:40.882299,2023-04-14 13:25:42.613793,sbr
2023-04-14 13:25:42.627793,2023-04-14 15:15:00.414535,hanger fee
2023-04-14 15:15:00.428534,2023-04-14 15:30:10.206900,thinking
2023-04-14 15:30:10.221905,2023-04-14 16:00:13.798589,thinking
