start,finish,task
2023-03-27 08:12:16.938952,2023-03-27 08:12:16.995952,
2023-03-27 08:12:16.995952,2023-03-27 09:48:40.309341,iron bank
2023-03-27 09:48:40.321340,2023-03-27 10:04:21.502099,admin timersheet
2023-03-27 10:04:21.516094,2023-03-27 10:19:27.848412,admin expesnses
2023-03-27 10:19:27.861414,2023-03-27 10:34:35.060344,admin leave
2023-03-27 10:34:35.073346,2023-03-27 10:49:38.947832,admin leave
2023-03-27 10:49:38.959836,2023-03-27 11:10:02.571324,bagette
2023-03-27 11:10:02.580324,2023-03-27 11:25:07.841688,mpi gh wind
2023-03-27 11:25:07.854697,2023-03-27 11:40:20.630277,ironbank
2023-03-27 11:40:20.644275,2023-03-27 12:40:24.028940,ironbank
2023-03-27 12:40:24.042940,2023-03-27 12:55:27.248969,ironbank
2023-03-27 12:55:27.258972,2023-03-27 13:10:29.846134,ironbank
2023-03-27 13:10:29.870287,2023-03-27 13:25:32.046971,ironbank
2023-03-27 13:25:32.060972,2023-03-27 14:14:39.801222,lunch
2023-03-27 14:14:39.811223,2023-03-27 14:29:47.019502,bellagio
2023-03-27 14:29:47.029505,2023-03-27 15:54:19.329866,bellagio.
2023-03-27 15:54:19.342867,2023-03-27 16:09:23.064149,bellagio.
2023-03-27 16:09:23.082118,2023-03-27 16:24:44.262459,ndh glare
2023-03-27 16:24:44.280946,2023-03-27 16:39:47.499493,ndh glare
2023-03-27 16:39:47.520459,2023-03-27 16:54:50.101115,ndh glare
2023-03-27 16:54:50.117113,2023-03-27 17:10:09.657948,mpi wind
2023-03-28 09:32:58.768819,2023-03-28 09:32:58.869759,
2023-03-28 09:32:58.895268,2023-03-28 09:48:04.511379,bellagio
2023-03-28 09:48:04.520380,2023-03-28 10:03:06.474967,bellagio
2023-03-28 10:03:06.488973,2023-03-28 10:18:07.980626,bellagio
2023-03-28 10:18:07.995320,2023-03-28 10:33:48.347238,bellagio
2023-03-28 10:33:48.361235,2023-03-28 11:00:43.733048,bellagio
2023-03-28 11:00:43.744053,2023-03-28 11:15:46.557917,bellagio
2023-03-28 11:15:46.571917,2023-03-28 12:02:10.809515,mpi warranties and chat with ben
2023-03-28 12:02:10.820514,2023-03-28 12:59:03.253006,lunch
2023-03-28 12:59:03.268186,2023-03-28 13:14:08.294857,bellagio
2023-03-28 13:14:08.304858,2023-03-28 13:29:10.150777,bellagio
2023-03-28 13:29:10.160777,2023-03-28 13:53:40.873825,bellagio
2023-03-28 13:53:40.884826,2023-03-28 14:09:09.529459,mpi win
2023-03-28 14:09:09.542460,2023-03-28 14:24:11.336680,mpi win
2023-03-28 14:24:11.351674,2023-03-28 14:39:15.366465,hangar
2023-03-28 14:39:15.379459,2023-03-28 14:54:17.696140,hangar
2023-03-28 14:54:17.719138,2023-03-28 15:09:19.333974,hangar
2023-03-28 15:09:19.344966,2023-03-28 15:24:21.121055,hangar
2023-03-28 15:24:21.134061,2023-03-28 15:51:04.290424,hangar
2023-03-28 15:51:04.302420,2023-03-28 16:06:05.946026,hangar
2023-03-28 16:06:05.961032,2023-03-28 16:24:49.899905,hangar
2023-03-29 08:45:54.250602,2023-03-29 08:45:54.464598,
2023-03-29 08:45:54.495594,2023-03-29 09:25:35.841210,hangar
2023-03-29 09:25:35.853213,2023-03-29 09:40:37.509941,hangar
2023-03-29 09:40:37.520945,2023-03-29 09:55:40.206634,hangar
2023-03-29 09:55:40.216628,2023-03-29 10:10:42.552602,hangar
2023-03-29 10:10:42.563561,2023-03-29 10:34:22.503011,hangar
2023-03-29 10:34:22.514012,2023-03-29 10:50:47.510847,hmpiwind
2023-03-29 10:50:47.520852,2023-03-29 11:05:56.225061,hmpiwind
2023-03-29 11:05:56.245025,2023-03-29 11:20:58.256297,hmpiwind
2023-03-29 11:20:58.266299,2023-03-29 11:36:02.660591,sbr
2023-03-29 11:36:02.670594,2023-03-29 11:51:07.717550,sbr
2023-03-29 11:51:07.730558,2023-03-29 12:09:44.811947,sbr
2023-03-29 12:09:44.826949,2023-03-29 13:55:56.294897,mpi wind
2023-03-29 13:55:56.306900,2023-03-29 14:10:58.598884,mpi wind
2023-03-29 14:10:58.610881,2023-03-29 14:25:59.685509,mpi wind
2023-03-29 14:25:59.696511,2023-03-29 14:45:04.686158,mpi wind
2023-03-29 14:45:04.700154,2023-03-29 15:15:22.222740,mpi wind
2023-03-29 15:15:22.233738,2023-03-29 15:30:23.784854,mpi wind
2023-03-29 15:30:23.797851,2023-03-29 15:45:25.163441,mpi wind
2023-03-29 15:45:25.174437,2023-03-29 16:00:26.657956,mpi wind
2023-03-29 16:00:26.669947,2023-03-29 16:15:35.168430,mpi wind
2023-03-29 16:15:35.181428,2023-03-29 16:31:48.636007,mpi gh
2023-03-29 16:31:48.649212,2023-03-29 16:46:50.533708,mpi gh
2023-03-29 16:46:50.546705,2023-03-29 17:01:55.373404,mpi gh
2023-03-30 09:07:16.984801,2023-03-30 09:07:17.069807,
2023-03-30 09:07:17.093810,2023-03-30 09:39:33.722153,mpi gh
2023-03-30 09:39:33.733154,2023-03-30 11:01:57.501927,mpi gh
2023-03-30 11:01:57.512930,2023-03-30 11:16:59.979990,mpi gh
2023-03-30 11:16:59.988955,2023-03-30 11:32:02.435924,mpi gh
2023-03-30 11:32:02.446924,2023-03-30 11:47:07.887965,mpi gh
2023-03-30 11:47:07.900971,2023-03-30 12:02:10.199098,mpi gh
2023-03-30 12:02:10.211091,2023-03-30 12:17:35.380866,mpi gh
2023-03-30 12:17:35.389863,2023-03-30 12:32:38.951987,mpi gh
2023-03-31 09:15:49.694170,2023-03-31 09:15:50.126175,
2023-03-31 09:15:50.155175,2023-03-31 09:30:58.349655,mpi naminf
2023-03-31 09:30:58.358619,2023-03-31 09:46:03.590045,mpi final gh
2023-03-31 09:46:03.596046,2023-03-31 10:01:05.789368,mpi final gh
2023-03-31 10:01:05.800200,2023-03-31 10:16:07.751158,mpi final gh
2023-03-31 10:16:07.760158,2023-03-31 10:31:17.170030,gurrt
2023-03-31 10:31:17.179031,2023-03-31 10:46:22.637148,bellagio
2023-03-31 10:46:22.649150,2023-03-31 11:06:04.686446,coffee
2023-03-31 11:06:04.699452,2023-03-31 11:21:13.533791,bellagio
2023-03-31 11:21:13.553939,2023-03-31 11:36:24.054131,bellagio
2023-03-31 11:36:24.069106,2023-03-31 11:51:30.990566,team mtg
2023-03-31 11:51:31.022637,2023-03-31 12:06:34.834553,meeting
2023-03-31 12:06:34.853554,2023-03-31 13:42:16.426557,lunch
2023-03-31 13:42:16.440290,2023-03-31 13:57:19.243000,lunch
2023-03-31 13:57:19.253349,2023-03-31 14:12:30.793894,iron bank review
2023-03-31 14:12:30.803895,2023-03-31 14:27:32.447504,iron bank review
2023-03-31 14:27:32.459507,2023-03-31 14:42:34.808833,iron bank review
2023-03-31 14:42:34.819835,2023-03-31 14:57:38.845750,iron bank review
2023-03-31 14:57:38.857749,2023-03-31 15:12:39.431274,iron bank review
2023-03-31 15:12:39.443273,2023-03-31 15:27:42.421849,iron bank review
2023-03-31 15:27:42.433847,2023-03-31 15:57:45.882764,iron bank review
