start,finish,task
2023-02-12 11:12:03.843634,2023-02-13 15:32:29.150025,b
2023-02-13 15:32:29.208030,2023-02-13 15:47:29.513057,b
2023-02-13 15:47:29.536595,2023-02-13 16:02:30.866681,b
2023-02-13 16:02:30.886666,2023-02-13 16:46:35.752742,b
2023-02-13 16:46:35.774742,2023-02-13 18:32:51.816470,b
2023-02-13 18:32:51.829468,2023-02-13 18:47:54.350691,b
2023-02-13 18:47:54.363348,2023-02-13 19:41:36.964320,b
2023-02-13 19:41:36.978986,2023-02-15 09:26:24.963615,mpi
2023-02-15 09:26:24.983816,2023-02-15 09:56:28.993550,mpi
2023-02-15 09:56:29.004549,2023-02-15 10:26:32.315565,mpi
2023-02-15 10:26:32.338865,2023-02-15 10:41:56.244088,st marks
2023-02-15 10:41:56.265096,2023-02-15 11:00:55.234822,st marks
2023-02-15 11:00:55.310819,2023-02-15 11:15:59.289269,mpi
2023-02-15 11:15:59.300270,2023-02-15 11:31:02.140182,mpi
2023-02-15 11:31:02.155185,2023-02-15 11:46:03.847177,mpi
2023-02-15 11:46:03.861179,2023-02-15 12:01:05.903851,mpi
2023-02-15 12:01:05.915850,2023-02-15 12:16:07.828795,mpi
2023-02-15 12:16:07.841795,2023-02-15 12:31:09.179093,mpi
2023-02-15 12:31:09.189367,2023-02-15 12:46:11.957817,mpi
2023-02-15 12:46:11.969820,2023-02-15 13:01:13.378181,mpi
2023-02-15 13:01:13.393181,2023-02-15 13:16:16.564511,mpi
2023-02-15 13:16:16.576478,2023-02-15 13:31:18.625081,mpi
2023-02-15 13:31:18.639084,2023-02-15 13:46:21.139490,mpi
2023-02-15 13:46:21.150492,2023-02-15 14:01:22.972711,mpi
2023-02-15 14:01:22.994707,2023-02-15 14:16:24.200488,mpi
2023-02-15 14:16:24.218480,2023-02-15 14:51:06.780475,lunch
2023-02-15 14:51:06.820479,2023-02-15 15:06:12.210074,ndh
2023-02-15 15:06:12.226070,2023-02-15 15:36:17.776544,ndh
2023-02-15 15:36:17.795544,2023-02-15 15:51:20.226329,ndh
2023-02-15 15:51:20.241326,2023-02-15 16:06:25.558990,mpi
2023-02-15 16:06:25.573992,2023-02-15 16:21:27.706715,mpi
2023-02-15 16:21:27.721716,2023-02-15 16:51:29.479354,mpi
2023-02-15 16:51:29.491317,2023-02-15 17:06:31.293623,mpi
2023-02-17 08:50:07.389179,2023-02-17 08:50:07.578179,
2023-02-17 08:50:07.579179,2023-02-17 09:20:11.891048,mpi
2023-02-17 09:20:11.902050,2023-02-17 09:35:14.264121,mpi
2023-02-17 09:35:14.280129,2023-02-17 10:09:20.914286,sbr ifc meeting
2023-02-17 10:09:20.923287,2023-02-17 10:24:24.643240,mpi
2023-02-17 10:24:24.656242,2023-02-17 10:39:26.666000,mpi
2023-02-17 10:39:26.678998,2023-02-17 10:54:28.255008,mpi
2023-02-17 10:54:28.274007,2023-02-17 11:09:35.275219,sbr sealant E
2023-02-17 11:09:35.291217,2023-02-17 11:24:40.916504,mpi
2023-02-17 11:24:40.938502,2023-02-17 11:39:47.214703,st m
2023-02-17 11:39:47.247173,2023-02-17 11:54:49.879761,st m
2023-02-17 11:54:49.896110,2023-02-17 12:09:51.176989,st m
2023-02-17 12:09:51.195988,2023-02-17 12:24:55.928282,st m
2023-02-17 12:24:55.942270,2023-02-17 12:39:59.164934,st m
2023-02-17 12:39:59.173150,2023-02-17 14:30:30.550513,lunch
2023-02-17 14:30:30.577512,2023-02-17 14:48:04.125885,st m
2023-02-17 14:48:04.139888,2023-02-17 15:03:05.790517,st m
2023-02-17 15:03:05.801520,2023-02-17 15:18:07.432980,st m
2023-02-17 15:18:07.446977,2023-02-17 15:33:09.418387,st m
2023-02-17 15:33:09.430386,2023-02-17 15:48:10.712653,st m
2023-02-17 15:48:10.727655,2023-02-17 16:03:13.729717,st m
2023-02-17 16:03:13.741716,2023-02-17 16:18:15.059121,st m
2023-02-17 16:18:15.073119,2023-02-17 16:33:17.253708,st m
2023-02-17 16:33:17.263708,2023-02-17 17:03:18.724960,st m
2023-02-17 17:03:18.736964,2023-02-17 17:18:20.367738,st m
