start,finish,task
2023-10-09 09:01:31.027404,2023-10-09 09:01:31.419466,
2023-10-09 09:01:31.419466,2023-10-09 09:31:37.043390,admin
2023-10-09 09:31:37.053392,2023-10-09 09:46:42.407868,hangar4 ps2
2023-10-09 09:46:42.419380,2023-10-09 10:09:30.485439,hangar ps2
2023-10-09 10:09:30.495450,2023-10-09 10:24:32.657716,r
2023-10-09 10:24:32.667716,2023-10-09 10:39:34.265273,r
2023-10-09 10:39:34.277302,2023-10-09 10:54:35.916923,r
2023-10-09 10:54:35.958030,2023-10-09 12:27:44.117856,r
2023-10-09 12:27:44.129865,2023-10-09 13:07:31.431873,r
2023-10-09 13:07:31.458391,2023-10-09 13:24:47.104682,r
2023-10-09 13:24:47.117195,2023-10-09 14:10:12.166870,r
2023-10-09 14:10:12.178620,2023-10-09 14:47:34.286498,r
2023-10-09 14:47:34.300977,2023-10-09 15:02:37.284729,r
2023-10-09 15:02:37.310272,2023-10-09 15:17:40.538322,r
2023-10-09 15:17:40.556375,2023-10-10 08:31:28.046492,r
2023-10-10 08:31:28.059496,2023-10-10 08:53:35.022826,r
2023-10-10 08:58:58.198704,2023-10-10 08:58:59.025812,
2023-10-10 08:58:59.026815,2023-10-10 09:29:16.240384,hangar ps2
2023-10-10 09:29:16.253395,2023-10-10 09:44:22.879784,hangar 4
2023-10-10 09:44:22.891365,2023-10-10 09:59:28.102499,hangar 4
2023-10-10 09:59:28.111498,2023-10-10 10:25:16.288486,hangar 4
2023-10-10 10:25:16.299053,2023-10-10 10:41:01.493433,hangar 4
2023-10-10 10:41:01.502434,2023-10-10 10:58:45.522197,hangar 4
2023-10-10 10:58:45.535597,2023-10-10 11:26:42.669221,hangar 4
2023-10-10 11:26:42.684698,2023-10-10 11:41:49.241557,hangar 4
2023-10-10 11:41:49.252619,2023-10-10 11:56:52.178104,hangar 4
2023-10-10 11:56:52.189402,2023-10-10 12:11:54.531499,hangar 4
2023-10-10 12:11:54.545029,2023-10-10 13:18:52.964218,hangar 4
2023-10-10 13:18:52.977575,2023-10-10 13:33:56.281462,hangar 4
2023-10-10 13:33:56.301052,2023-10-10 13:49:00.764387,hangar 4
2023-10-10 13:49:00.787386,2023-10-10 14:04:02.751955,hangar 4
2023-10-10 14:04:02.761470,2023-10-10 14:19:04.693755,hangar 4
2023-10-10 14:19:04.705083,2023-10-10 14:44:25.848838,MPI
2023-10-10 14:44:25.867947,2023-10-10 15:04:17.033935,MPI
2023-10-10 15:04:17.046050,2023-10-10 15:19:19.098094,MPI
2023-10-10 15:19:19.110985,2023-10-10 15:34:20.389023,MPI
2023-10-10 15:34:20.401571,2023-10-10 17:15:57.643999,MPI
2023-10-10 17:15:57.672521,2023-10-10 17:31:01.875659,MPI
2023-10-10 17:31:01.887660,2023-10-10 17:46:04.526310,MPI
2023-10-10 17:46:04.536823,2023-10-10 18:01:10.468143,hangar
2023-10-10 18:01:10.482661,2023-10-10 18:16:12.906058,hangar
2023-10-10 18:16:12.921059,2023-10-10 18:31:53.798372,hangar
2023-10-10 18:31:53.810893,2023-10-11 08:30:27.169107,hangar
2023-10-13 15:07:37.425904,2023-10-13 15:07:37.527066,
2023-10-13 15:07:37.527066,2023-10-13 15:22:46.176589,admin 
2023-10-13 15:22:46.189149,2023-10-13 15:37:48.544082,admin 
2023-10-13 15:37:48.556113,2023-10-13 16:01:39.537949,admin 
