start,finish,task
2023-02-24 16:32:17.320130,2023-02-27 09:32:32.050421,antartica
2023-02-27 09:32:32.236420,2023-02-27 09:47:38.666729,antartica
2023-02-27 09:47:38.680710,2023-02-27 10:02:42.721356,antartica
2023-02-27 10:02:42.738357,2023-02-27 10:17:47.207804,antartica
2023-02-27 10:17:47.219806,2023-02-27 10:41:14.085753,coffee
2023-02-27 10:41:14.100761,2023-02-27 10:56:30.052496,tonar & izaac
2023-02-27 10:56:30.067496,2023-02-27 11:11:30.683269,tonar & izaac
2023-02-27 11:11:30.700271,2023-02-27 11:26:36.849385,gutir
2023-02-27 11:26:36.862387,2023-02-27 11:41:42.744896,sbr
2023-02-27 11:41:42.764899,2023-02-27 11:57:00.302172,sbr
2023-02-27 11:57:00.316173,2023-02-27 12:12:11.573436,brick
2023-02-27 12:12:11.589436,2023-02-27 13:04:36.546641,brick & lunch
2023-02-27 13:12:06.266302,2023-02-27 13:12:06.457914,
2023-02-27 13:12:06.496730,2023-02-27 13:27:11.647644,sbr sealant
2023-02-27 13:27:11.657643,2023-02-27 13:42:16.566278,sbr sealant
2023-02-27 13:42:16.579284,2023-02-27 13:57:23.644067,sbr sealant
2023-02-27 13:57:23.657070,2023-02-27 14:12:25.458119,sbr sealant
2023-02-27 14:12:25.474123,2023-02-27 14:27:32.287232,sbr sealant
2023-02-27 14:27:32.300237,2023-02-27 14:42:33.674148,sbr sealant
2023-02-27 14:42:33.687236,2023-02-27 15:10:33.014429,walk
2023-02-27 15:10:33.027434,2023-02-27 15:25:39.049033,Mosquitto
2023-02-27 15:25:39.063036,2023-02-27 15:40:42.441572,dagred z axis
2023-02-27 15:40:42.455573,2023-02-27 15:55:45.187301,dagred z axis
2023-02-27 15:55:45.205303,2023-02-27 16:10:45.847466,dagred z axis
2023-02-27 16:10:45.861469,2023-02-27 16:25:48.398909,dagred z axis
2023-02-28 08:13:27.001927,2023-02-28 08:13:27.138926,
2023-02-28 08:13:27.140929,2023-02-28 08:31:34.666937,selant
2023-02-28 08:31:34.674935,2023-02-28 08:46:41.599889,selant
2023-02-28 08:46:41.610891,2023-02-28 09:02:26.286456,selant
2023-02-28 09:02:26.304942,2023-02-28 09:17:29.169532,selant
2023-02-28 09:17:29.185073,2023-02-28 09:36:40.422149,coffee
2023-02-28 09:36:40.437157,2023-02-28 09:51:47.049422,coffeesbr
2023-02-28 09:51:47.062427,2023-02-28 10:06:52.702575,smath
2023-02-28 10:06:52.720576,2023-02-28 10:21:55.486067,sbr
2023-02-28 10:21:55.507857,2023-02-28 12:54:32.716626,sbr
2023-02-28 12:54:32.748634,2023-02-28 13:09:34.894685,sbr
2023-02-28 13:09:34.908726,2023-02-28 13:24:38.261174,sbr
2023-02-28 13:24:38.274172,2023-02-28 15:02:14.721184,louvres
2023-02-28 15:02:14.734184,2023-02-28 15:17:26.204393,louvres
2023-02-28 15:17:26.221391,2023-02-28 15:32:32.175157,louvres
2023-02-28 16:28:40.382847,2023-02-28 16:28:40.982848,
2023-02-28 16:28:41.061832,2023-02-28 16:43:47.252105,cfd
2023-02-28 16:43:47.266111,2023-02-28 16:58:48.810263,cfd
2023-02-28 16:58:48.828224,2023-02-28 17:13:50.610492,cfd
2023-02-28 17:13:50.628490,2023-03-01 09:14:11.484259,cfd
2023-03-01 09:14:11.509256,2023-03-01 09:29:14.760859,cfd
2023-03-01 809:29:14.773859,2023-03-01 10:11:27.709940,cfd
2023-03-01 10:11:27.723941,2023-03-01 10:26:32.958836,ndh
2023-03-01 10:26:32.972837,2023-03-01 10:41:33.520971,ha
2023-03-01 10:41:33.531969,2023-03-01 10:59:39.715136,ndh
2023-03-01 10:59:39.724138,2023-03-01 11:14:42.894202,ndh
2023-03-01 11:14:42.904203,2023-03-01 11:29:44.320493,ndh
2023-03-01 11:29:44.329494,2023-03-01 11:44:46.427224,ndh
2023-03-01 11:44:46.437223,2023-03-01 11:59:48.334198,ndh
2023-03-01 11:59:48.344198,2023-03-01 12:14:49.420259,ndh
2023-03-01 12:14:49.431252,2023-03-01 12:29:51.440153,ndh
2023-03-01 12:29:51.449152,2023-03-01 12:44:55.656949,ndh
2023-03-01 12:44:55.668952,2023-03-01 12:59:56.742715,ndh
2023-03-01 12:59:56.759739,2023-03-01 14:02:44.956986,ndh
2023-03-01 14:02:44.970983,2023-03-01 14:42:59.535773,walk
2023-03-01 14:42:59.547772,2023-03-01 16:05:59.487337,walk
2023-03-01 16:05:59.501307,2023-03-01 16:21:04.884969,ndh 
2023-03-01 16:21:04.895973,2023-03-01 16:36:10.268371,ndh
2023-03-01 16:36:10.278375,2023-03-01 16:51:12.792195,ndh
2023-03-01 16:51:12.805192,2023-03-01 17:06:14.061707,ndh
2023-03-02 09:48:33.363283,2023-03-02 09:48:33.669286,
2023-03-02 09:48:33.684283,2023-03-02 10:03:40.772089,ndh
2023-03-02 10:03:40.782085,2023-03-02 10:18:42.329852,ndh
2023-03-02 10:18:42.340539,2023-03-02 10:33:43.869526,ndh
2023-03-02 10:33:43.878983,2023-03-02 10:48:44.902136,ndh
2023-03-02 10:48:44.912138,2023-03-02 11:03:47.008165,ndh
2023-03-02 11:03:47.018163,2023-03-02 11:33:51.400735,ndh
2023-03-02 11:33:51.412737,2023-03-02 11:48:54.944573,ndh
2023-03-02 11:48:54.954572,2023-03-02 12:03:57.306582,ndh
2023-03-02 12:03:57.318577,2023-03-03 09:25:13.715690,ndh
2023-03-03 09:25:13.733686,2023-03-03 09:40:15.340600,ndh
2023-03-03 09:40:15.353596,2023-03-03 09:55:17.177451,ndh
2023-03-03 09:55:17.191419,2023-03-03 10:10:18.759578,ndh
2023-03-03 10:10:18.790580,2023-03-03 10:25:22.775501,ndh
2023-03-03 10:25:22.794500,2023-03-03 10:40:33.997165,ndh
2023-03-03 10:40:34.012164,2023-03-03 10:55:36.934915,ndh
2023-03-03 10:55:36.947918,2023-03-03 11:10:41.516943,ndh
2023-03-03 11:10:41.530937,2023-03-03 11:25:43.963550,ndh
2023-03-03 11:25:43.978549,2023-03-03 12:00:24.041736,ndh
2023-03-03 12:00:24.061740,2023-03-03 12:15:25.872239,ndh
2023-03-03 12:15:25.888228,2023-03-03 13:03:37.521420,ndh
2023-03-03 13:03:37.536424,2023-03-03 13:18:40.360176,ndh
2023-03-03 13:18:40.373176,2023-03-03 13:33:40.770181,ndh
2023-03-03 13:33:40.787188,2023-03-03 13:48:42.535986,ndh
2023-03-03 13:48:42.550983,2023-03-03 14:03:52.194307,strand7 play
2023-03-03 14:03:52.210116,2023-03-03 14:18:55.330222,strand7 play
2023-03-03 14:18:55.343222,2023-03-03 14:33:55.724201,strand7 play
2023-03-03 14:33:55.737203,2023-03-03 14:49:06.456928,ndh
2023-03-03 14:49:06.465890,2023-03-03 15:04:08.491387,ndh
2023-03-03 15:04:08.503392,2023-03-03 15:19:10.451639,ndh
2023-03-03 15:19:10.466616,2023-03-03 15:34:12.331234,ndh
2023-03-03 15:34:12.345235,2023-03-03 15:49:28.327699,ndh
2023-03-03 15:49:28.340698,2023-03-03 16:04:30.551428,ndh
2023-03-03 16:07:04.563720,2023-03-03 16:07:04.946723,
