start,finish,task
2023-05-05 17:55:49.244351,2023-05-08 09:02:11.166869,sbr
2023-05-08 09:02:11.206972,2023-05-08 09:17:11.674014,sbr
2023-05-08 09:19:05.920403,2023-05-08 09:19:06.077472,
2023-05-08 09:19:06.077472,2023-05-08 09:34:10.542475,admin
2023-05-08 09:34:10.555473,2023-05-08 09:56:14.687758,admin
2023-05-08 09:56:14.702759,2023-05-08 10:11:17.939176,admin
2023-05-08 10:11:17.953177,2023-05-08 10:26:20.054838,admin
2023-05-08 10:26:20.066840,2023-05-08 10:41:27.642429,ironbank
2023-05-08 10:41:27.668969,2023-05-08 11:04:54.303140,walk
2023-05-08 11:04:54.322140,2023-05-08 11:35:00.209901,ironbank
2023-05-08 11:35:00.224738,2023-05-08 11:50:01.814148,ironbank
2023-05-08 11:50:01.830144,2023-05-08 12:50:26.234788,lunch
2023-05-08 12:50:26.256789,2023-05-08 13:08:27.871176,lunch
2023-05-08 13:08:27.885179,2023-05-08 14:23:29.110423,lunch
2023-05-08 14:23:29.124423,2023-05-08 14:39:13.971482,lunch
2023-05-08 14:39:13.987815,2023-05-08 14:54:15.820158,lunch
2023-05-08 14:54:15.835504,2023-05-08 15:09:17.459956,lunch
2023-05-08 15:09:17.480952,2023-05-08 15:24:18.735962,lunch
2023-05-08 15:24:18.749482,2023-05-08 15:39:21.312127,lunch
2023-05-08 15:39:21.329130,2023-05-08 15:54:26.520927,MPI spec
2023-05-08 15:54:26.532931,2023-05-08 16:09:28.560290,MPI spec
2023-05-08 16:09:28.576262,2023-05-08 16:24:31.559523,MPI spec
2023-05-08 16:24:31.574521,2023-05-08 16:47:04.348934,MPI spec
2023-05-08 16:47:04.364944,2023-05-08 17:02:08.336559,MPI spec
2023-05-08 17:02:08.352639,2023-05-08 17:18:42.393982,MPI spec
2023-05-08 17:18:42.408989,2023-05-09 10:06:28.643002,MPI spec
2023-05-09 10:06:28.870073,2023-05-09 10:21:30.092485,MPI spec
2023-05-09 10:21:30.118487,2023-05-09 10:36:31.645478,MPI spec
2023-05-09 10:36:31.659481,2023-05-09 10:57:17.029851,MPI spec
2023-05-09 10:57:17.074853,2023-05-09 11:12:18.254399,MPI spec
2023-05-09 11:12:18.270400,2023-05-09 11:27:21.063864,MPI spec
2023-05-09 11:27:21.086887,2023-05-09 11:42:23.218461,MPI spec
2023-05-09 11:42:23.233458,2023-05-09 12:17:21.172004,MPI spec
