start,finish,task
2023-03-10 17:11:16.384416,2023-03-13 09:17:14.198238,weekend
2023-03-13 09:17:14.232236,2023-03-13 09:47:27.928320,mpi review jx spec
2023-03-13 09:47:27.937320,2023-03-13 10:02:29.209648,mpi review jx spec
2023-03-13 10:02:29.221868,2023-03-13 10:17:33.681372,mpi review jx spec
2023-03-13 10:17:33.693373,2023-03-13 10:32:33.703776,mpi review jx spec
2023-03-13 10:32:33.716773,2023-03-13 10:47:36.014634,mpi review jx spec
2023-03-13 10:47:36.027601,2023-03-13 11:02:37.736079,mpi review jx spec
2023-03-13 11:02:37.747616,2023-03-13 11:17:45.507395,mpi lab
2023-03-13 11:17:45.518394,2023-03-13 11:33:12.349504,mpi lab
2023-03-13 11:33:12.359504,2023-03-13 11:48:15.100094,mpi lab
2023-03-13 11:48:15.116054,2023-03-13 12:03:21.195237,mpi lab
2023-03-13 12:03:21.211236,2023-03-13 12:18:35.376206,mpi gh
2023-03-13 12:18:35.396208,2023-03-13 12:33:37.716835,mpi gh
2023-03-13 12:33:37.724837,2023-03-13 12:48:40.070904,mpi gh
2023-03-13 13:58:42.560140,2023-03-13 13:58:42.908144,
2023-03-13 13:58:42.909143,2023-03-13 14:13:49.279881,sbr
2023-03-13 14:13:49.299841,2023-03-13 14:29:27.547811,aag coating hebel
2023-03-13 14:29:27.559971,2023-03-13 14:44:31.699946,aag coating hebel
2023-03-13 14:44:31.709947,2023-03-13 14:59:36.250492,aag coating hebel
2023-03-13 14:59:36.261491,2023-03-13 15:14:38.510960,aag coating hebel
2023-03-13 15:14:38.519960,2023-03-13 15:29:43.387640,mpi
2023-03-13 15:29:43.398644,2023-03-13 15:59:47.460928,mpi
2023-03-13 15:59:47.474932,2023-03-13 16:14:50.935236,mpi
2023-03-13 16:14:50.945204,2023-03-13 16:29:59.760070,mpi
2023-03-13 16:29:59.776240,2023-03-13 16:45:00.613800,mpi
2023-03-13 16:45:00.626801,2023-03-13 17:00:02.690106,mpi
2023-03-13 17:00:02.705109,2023-03-14 10:36:25.206880,coffe w/ jon
2023-03-14 10:36:25.220888,2023-03-14 10:51:29.112454,mpi
2023-03-14 10:51:29.124457,2023-03-14 11:06:31.424735,mpi
2023-03-14 11:06:31.434737,2023-03-14 11:34:38.519861,lunch
2023-03-14 11:34:38.537863,2023-03-14 11:49:51.752674,chat w/ ben victopia
2023-03-14 11:49:51.765666,2023-03-14 12:04:54.424666, oco
2023-03-14 12:04:54.447662,2023-03-14 12:20:02.253709,mpi
2023-03-14 12:20:02.265675,2023-03-14 12:35:03.626072,mpi
2023-03-14 12:35:03.638068,2023-03-14 12:50:13.925042,mpi
2023-03-14 12:50:13.941029,2023-03-14 13:31:06.395799,mpi
2023-03-14 13:31:06.449801,2023-03-14 14:01:09.217499,mpi
2023-03-14 14:01:09.229502,2023-03-14 14:16:10.952991,mpi
2023-03-14 14:16:10.962955,2023-03-14 14:31:18.181477,mpi
2023-03-14 14:31:18.194477,2023-03-14 14:50:30.923188,mpi
2023-03-14 14:50:30.934187,2023-03-14 15:20:32.850046,mpi
2023-03-14 15:20:32.862047,2023-03-14 15:35:38.501683,mpi lab
2023-03-14 15:35:38.527827,2023-03-14 15:50:40.930562,mpi lab
2023-03-15 09:02:23.952483,2023-03-15 09:02:24.138482,
2023-03-15 09:02:24.140483,2023-03-15 09:17:36.175581,mpi greenhouse fire
2023-03-15 09:17:36.183582,2023-03-15 09:32:37.319675,mpi greenhouse fire
2023-03-15 09:32:37.329336,2023-03-15 10:06:51.590900,mpi greenhouse fps
2023-03-15 10:06:51.603742,2023-03-15 10:21:51.875329,)
2023-03-15 10:21:51.888329,2023-03-15 10:37:28.341433,bellagio telecom w/ hamish
2023-03-15 10:37:28.353429,2023-03-15 10:52:32.221198,mpi
2023-03-15 10:52:32.232197,2023-03-15 11:07:33.960989,mpi
2023-03-15 11:07:33.973033,2023-03-15 11:22:36.215569,mpi
2023-03-15 11:22:36.227573,2023-03-15 11:37:39.714701,mpi
2023-03-15 11:37:39.731699,2023-03-15 11:52:40.933038,mpi
2023-03-15 11:52:40.945734,2023-03-15 12:07:42.930021,mpi
2023-03-15 12:07:42.957763,2023-03-15 12:22:45.119174,mpi
