start,finish,task
2023-01-16 09:33:40.578018,2023-01-16 09:33:40.595017,
2023-01-16 09:33:40.596015,2023-01-16 09:48:54.666402,SBR reaction checks
2023-01-16 09:48:54.673404,2023-01-16 10:03:56.495779,SBR reaction checks
2023-01-16 10:03:56.504780,2023-01-16 10:18:59.621482,SBR reaction checks
2023-01-16 10:18:59.632482,2023-01-16 10:59:44.944191,SBR reaction checks
2023-01-16 10:59:44.952193,2023-01-16 11:14:46.520669,SBR reaction checks
2023-01-16 11:14:46.532664,2023-01-16 11:29:47.606999,SBR reaction checks
2023-01-16 11:29:47.613781,2023-01-16 11:45:24.853775,SBR reaction checks
2023-01-16 13:10:24.203514,2023-01-16 13:10:24.231519,
2023-01-16 13:11:19.102652,2023-01-16 13:11:19.107653,
2023-01-16 13:12:06.529319,2023-01-16 13:12:06.537321,
2023-01-16 13:12:15.128084,2023-01-16 13:12:15.133079,
2023-01-16 13:15:16.055239,2023-01-16 13:15:16.061244,
2023-01-16 13:20:29.203033,2023-01-16 13:20:29.208036,
2023-01-16 13:25:16.259045,2023-01-16 13:25:16.269037,
2023-01-16 13:26:03.789786,2023-01-16 13:26:03.795784,
2023-01-16 13:30:54.395642,2023-01-16 13:30:54.403643,
2023-01-16 13:31:15.803378,2023-01-16 13:31:15.810376,
2023-01-16 13:32:20.031619,2023-01-16 13:32:20.036621,
2023-01-16 13:44:00.647050,2023-01-16 13:44:00.653048,
2023-01-16 13:44:00.653048,2023-01-16 13:59:08.235950,tutorial 360
2023-01-16 13:59:08.248527,2023-01-16 14:14:11.886540,tutorial 360
2023-01-18 09:36:00.526318,2023-01-18 09:36:00.704477,
2023-01-18 09:36:00.707475,2023-01-18 09:51:35.325876,admin
2023-01-18 09:51:35.347877,2023-01-18 10:08:44.848507,admin
2023-01-18 10:08:44.880510,2023-01-18 10:26:22.229283,admin
2023-01-18 10:26:22.242297,2023-01-18 10:41:40.535899,scott base - reconciling 2 version of report
2023-01-18 10:41:40.547898,2023-01-18 10:56:49.007012,scott base -curved panel
2023-01-18 10:56:49.019023,2023-01-18 11:11:51.772924,scott base -curved panel
2023-01-18 11:11:51.785933,2023-01-18 11:27:01.769038,scott base -curved panel
2023-01-18 11:27:01.780036,2023-01-18 12:21:31.051885,lunch
2023-01-18 12:21:31.066851,2023-01-18 12:37:12.952913,tea
2023-01-18 12:37:12.958912,2023-01-18 12:52:27.584447,scot base curved panels
2023-01-18 12:52:27.594447,2023-01-18 13:07:29.682424,scot base curved panels
2023-01-18 13:07:29.695423,2023-01-18 13:22:31.543883,scot base curved panels
2023-01-18 13:22:31.555881,2023-01-18 13:37:33.742909,scot base curved panels
2023-01-18 13:37:33.753908,2023-01-18 14:05:13.293173,scot base curved panels
2023-01-18 14:05:13.304173,2023-01-18 14:20:26.127126,scot base curved panels
2023-01-18 14:20:26.140146,2023-01-18 14:35:28.408048,scot base curved panels
2023-01-18 14:35:28.417978,2023-01-18 14:50:32.566110,scot base curved panels
2023-01-18 14:50:32.578113,2023-01-19 09:32:18.390692,scot base curved panels
2023-01-19 09:32:18.409692,2023-01-19 09:47:27.726233,scot base report
2023-01-19 09:47:27.738230,2023-01-19 10:02:29.613681,scot base report
2023-01-19 10:02:29.627682,2023-01-19 10:17:31.495150,scot base report
2023-01-19 10:17:31.509152,2023-01-19 10:51:16.330507,scot base report
2023-01-19 10:51:16.346530,2023-01-19 11:06:17.532854,scot base report
2023-01-19 11:06:17.544990,2023-01-19 11:21:19.117393,scot base report
2023-01-19 11:21:19.128397,2023-01-19 11:37:33.751262,scot base report
2023-01-19 11:37:33.763259,2023-01-19 12:12:45.623216,scot base report
2023-01-19 12:12:45.637216,2023-01-19 12:27:47.339103,scot base report
2023-01-19 12:27:47.356106,2023-01-19 13:25:10.714446,lunch
2023-01-19 13:25:10.729449,2023-01-19 13:40:35.752137,modelling
2023-01-19 13:40:35.762624,2023-01-19 13:55:40.453002,modelling
2023-01-19 13:55:40.464001,2023-01-19 14:25:42.464765,modelling
2023-01-19 14:25:42.472763,2023-01-19 14:41:01.684983,mpi reading fire thing
2023-01-19 14:41:01.695986,2023-01-20 09:05:30.675684,mpi reading fire thing
2023-01-20 09:05:30.696575,2023-01-20 09:20:36.417722,MODELLING
2023-01-20 09:20:36.431231,2023-01-20 09:50:46.400846,kingspan walls
2023-01-20 09:50:46.415246,2023-01-20 10:05:51.583830,coffee
2023-01-20 10:05:51.594828,2023-01-20 10:20:59.714328,sbr soffits
2023-01-20 10:20:59.725328,2023-01-20 10:36:04.731959,sbr soffits
2023-01-20 10:36:04.745963,2023-01-20 10:52:56.755179,sbr talking to lucy
2023-01-20 10:52:56.768182,2023-01-20 11:07:59.389321,sbr talking to lucy
2023-01-20 11:07:59.405705,2023-01-20 11:23:05.723466,sbr soffits
2023-01-20 11:23:05.738468,2023-01-20 11:38:12.869567,sbr soffits
2023-01-20 11:38:12.892590,2023-01-20 11:53:36.783518,sbr soffits
2023-01-20 11:53:36.798496,2023-01-20 12:42:51.034311,lunch
2023-01-20 12:42:51.047001,2023-01-20 12:57:54.800133,sbr 
2023-01-20 12:57:54.814538,2023-01-20 13:12:57.243931,sbr 
2023-01-20 13:12:57.261934,2023-01-20 13:27:59.168346,sbr 
2023-01-20 13:27:59.184352,2023-01-20 13:43:00.433781,sbr 
2023-01-20 13:43:00.450743,2023-01-20 13:58:02.407983,sbr 
2023-01-20 13:58:02.423355,2023-01-20 14:13:04.072663,sbr 
2023-01-20 14:13:04.087661,2023-01-20 14:28:37.980777,sbr 
2023-01-20 14:28:37.997778,2023-01-20 14:43:40.425237,sbr 
2023-01-20 14:43:40.439233,2023-01-20 14:58:46.715019,break
2023-01-20 14:58:46.732020,2023-01-20 15:59:01.149529,home
2023-01-20 15:59:01.174731,2023-01-20 16:23:47.840386,home
