start,finish,task
2023-03-20 08:59:30.180299,2023-03-20 08:59:30.338299,
2023-03-20 08:59:30.338299,2023-03-20 09:29:34.721008,mpi
2023-03-20 09:29:34.733012,2023-03-20 09:44:38.365920,mpi
2023-03-20 09:44:38.377922,2023-03-20 09:59:41.491434,mpi
2023-03-20 09:59:41.515443,2023-03-20 10:14:42.764280,mpi
2023-03-20 10:34:53.949219,2023-03-20 10:34:54.511216,
2023-03-20 10:34:54.511216,2023-03-20 10:50:03.452503,mpi
2023-03-20 10:50:03.461503,2023-03-20 11:05:05.944500,mpi
2023-03-20 11:05:05.956468,2023-03-20 11:20:08.898678,mpi
2023-03-20 11:20:08.909675,2023-03-20 11:35:10.172378,mpi
2023-03-20 11:35:10.184373,2023-03-20 11:50:13.137709,mpi
2023-03-20 11:50:13.145709,2023-03-20 12:05:15.749122,mpi
2023-03-20 12:05:15.762122,2023-03-20 12:20:16.680672,mpi
2023-03-20 12:20:16.692669,2023-03-20 12:35:19.405054,mpi
2023-03-20 12:35:19.416054,2023-03-20 13:14:20.709121,lunch
2023-03-20 13:14:20.723086,2023-03-20 13:29:23.852279,lunch
2023-03-20 13:29:23.867278,2023-03-20 13:44:25.209660,lunch
2023-03-20 13:44:25.222647,2023-03-20 13:59:34.045346,ironbank
2023-03-20 13:59:34.061340,2023-03-20 14:29:42.203850,st dom apl
2023-03-20 14:29:42.217853,2023-03-20 14:44:45.101608,st dom apl
2023-03-20 14:44:45.116609,2023-03-20 14:59:47.158949,st dom apl
2023-03-20 14:59:47.175957,2023-03-20 15:14:48.822671,st dom apl
2023-03-20 15:14:48.840637,2023-03-20 15:29:55.633580,mpi lab
2023-03-20 15:29:55.647579,2023-03-20 15:44:56.964660,mpi lab
2023-03-21 09:14:05.241609,2023-03-21 09:14:05.564603,
2023-03-21 10:20:34.276219,2023-03-21 10:20:34.430220,
2023-03-21 10:20:34.431217,2023-03-21 11:14:57.252647,meeting with jh ndh testing too
2023-03-21 11:14:57.267647,2023-03-21 11:30:00.480756,mpi
2023-03-21 11:30:00.494766,2023-03-21 11:45:02.873123,mpi
2023-03-21 11:45:02.888112,2023-03-21 12:49:06.824473,lunch
2023-03-21 12:49:06.838473,2023-03-21 13:04:17.372958,admin
2023-03-21 13:04:17.382958,2023-03-21 13:19:18.880430,admin
2023-03-21 13:19:18.908431,2023-03-21 13:34:23.604997,admin
2023-03-21 13:34:23.625000,2023-03-21 13:49:30.382463,admin
2023-03-21 13:49:30.400458,2023-03-21 14:09:33.014240,st dom apl
2023-03-21 14:09:33.029244,2023-03-21 14:24:35.840866,st dom apl
2023-03-21 14:24:35.855874,2023-03-21 14:39:40.777625,mpi glass
2023-03-21 14:39:40.791626,2023-03-21 14:54:49.202639,mpi glass
2023-03-21 14:54:49.219634,2023-03-21 15:12:49.580545,st dom
2023-03-21 15:12:49.595538,2023-03-21 15:27:54.203873,mpi
2023-03-21 15:27:54.213869,2023-03-21 15:42:58.545289,mpi
2023-03-21 15:42:58.557252,2023-03-21 15:58:02.765464,mpi
2023-03-21 15:58:02.778461,2023-03-21 16:13:04.442374,mpi
2023-03-21 16:13:04.456379,2023-03-21 16:28:56.396678,mpi
2023-03-21 16:28:56.411682,2023-03-21 16:44:13.116356,aag check reveiw of ps1 report
2023-03-21 16:44:13.128357,2023-03-21 16:59:17.437409,mpmi
2023-03-21 16:59:17.451408,2023-03-22 09:03:10.836761,aag
2023-03-22 09:03:10.847762,2023-03-22 09:18:13.577901,aag
2023-03-22 09:18:13.585902,2023-03-22 09:33:17.655151,mpi
2023-03-22 09:33:17.665157,2023-03-22 09:48:20.798429,mpi
2023-03-22 09:48:20.808433,2023-03-22 10:03:23.814042,mpi
2023-03-22 10:03:23.826976,2023-03-22 10:18:26.100749,mpi
2023-03-22 10:18:26.127753,2023-03-22 10:33:28.200396,mpi
2023-03-22 10:33:28.212396,2023-03-22 10:48:32.288117,mpi
2023-03-22 10:48:32.301115,2023-03-22 11:03:35.151596,mpi
2023-03-22 11:03:35.165590,2023-03-22 11:28:03.485891,mpi
2023-03-22 11:28:03.500854,2023-03-22 11:43:06.447895,mpi
2023-03-22 11:43:06.460899,2023-03-22 11:58:07.235139,mpi
2023-03-22 11:58:07.248143,2023-03-22 12:13:09.836011,mpi
2023-03-22 12:13:09.851014,2023-03-22 12:28:13.283668,mpi
2023-03-22 12:28:13.295939,2023-03-22 12:43:29.414598,mpi
2023-03-22 12:43:29.428597,2023-03-22 12:58:34.844819,timesheet
2023-03-22 12:58:34.857818,2023-03-22 13:13:42.496714,timesheet
2023-03-22 13:13:42.509709,2023-03-22 13:31:05.508642,timesheet
2023-03-22 13:31:05.519639,2023-03-22 13:46:11.160970,hangar
