start,finish,task
2023-08-18 16:59:02.354117,2023-08-21 08:30:28.040342,timesheet
2023-08-21 08:30:28.066881,2023-08-21 08:45:35.208637,timesheet
2023-08-21 08:45:35.218640,2023-08-21 09:00:37.019136,timesheet
2023-08-21 09:00:37.029140,2023-08-21 09:18:29.749490,ironbank
2023-08-21 09:18:29.769661,2023-08-21 09:33:40.159343,wufii
2023-08-21 09:33:40.169346,2023-08-21 09:48:44.635719,wufii
2023-08-21 09:48:44.643713,2023-08-21 10:03:47.948482,wufii
2023-08-21 10:03:47.956492,2023-08-21 10:19:42.919234,IRONBANK
2023-08-21 10:19:42.928238,2023-08-21 10:34:45.702892,IRONBANK
2023-08-21 10:34:45.710893,2023-08-21 10:49:47.273260,IRONBANK
2023-08-21 10:49:47.285265,2023-08-21 11:04:52.236963,sbr
2023-08-21 11:04:52.254526,2023-08-21 11:20:01.027031,sbr
2023-08-21 11:20:01.040028,2023-08-21 11:35:02.484965,sbr
2023-08-21 11:35:02.492969,2023-08-21 12:20:37.798557,LUNCH
2023-08-21 12:20:37.806557,2023-08-21 12:35:43.193677,sbr
2023-08-21 12:35:43.206678,2023-08-21 12:52:07.050558,sbr
2023-08-21 12:52:07.058551,2023-08-21 13:07:09.698671,sbr
2023-08-21 13:07:09.705630,2023-08-21 13:22:12.636672,sbr
2023-08-21 13:22:12.644675,2023-08-21 13:37:14.455824,sbr
2023-08-21 13:37:14.474822,2023-08-21 13:53:47.027345,sbr
2023-08-21 13:53:47.035350,2023-08-21 14:15:15.011341,sbr
2023-08-21 14:15:15.030342,2023-08-21 14:30:16.563029,sbr
2023-08-21 14:30:16.586547,2023-08-21 15:00:19.128328,sbr
2023-08-21 15:00:19.143325,2023-08-21 15:15:29.613254,sbr
2023-08-21 15:15:29.623258,2023-08-21 15:30:34.608738,onco
2023-08-21 15:30:34.617741,2023-08-21 15:45:37.952637,onco
2023-08-21 15:45:37.964603,2023-08-21 16:00:40.019300,onco
2023-08-21 16:00:40.030264,2023-08-21 16:15:41.767618,onco
2023-08-21 16:15:41.780618,2023-08-21 16:47:57.063320,onco
2023-08-21 16:47:57.089322,2023-08-21 17:04:53.956179,onco
2023-08-21 17:04:53.965183,2023-08-21 17:25:46.831241,onco
2023-08-21 22:02:07.964660,2023-08-21 22:02:08.004713,
2023-08-21 22:02:08.005714,2023-08-22 10:36:21.699029,mmeting w jh
2023-08-22 10:36:21.790257,2023-08-22 11:11:33.502963,onco
2023-08-22 11:11:33.514965,2023-08-22 11:26:35.442723,onco
2023-08-22 11:26:35.453716,2023-08-22 11:41:36.730679,onco
2023-08-22 11:41:36.741687,2023-08-22 13:54:07.097778,onco
2023-08-22 13:54:07.115782,2023-08-22 14:24:09.711391,onco
2023-08-22 14:24:09.721395,2023-08-22 14:39:11.416273,onco
2023-08-22 14:39:11.441219,2023-08-22 14:54:14.284655,onco
2023-08-22 14:54:14.295657,2023-08-22 16:26:33.630041,onco
2023-08-22 16:26:33.645048,2023-08-22 16:41:35.171594,onco
2023-08-22 16:41:35.182593,2023-08-22 16:56:36.871344,onco
2023-08-22 16:56:36.882609,2023-08-22 17:11:38.841783,onco
2023-08-22 17:11:38.855785,2023-08-22 17:26:40.781882,onco
2023-08-22 17:26:40.790884,2023-08-22 17:41:43.486677,onco
2023-08-22 17:41:43.497688,2023-08-23 08:43:10.685196,onco
2023-08-23 08:43:12.460193,2023-08-23 08:58:13.870166,onco
2023-08-23 08:58:13.885244,2023-08-23 09:28:17.286230,onco
2023-08-23 09:28:17.297233,2023-08-23 10:05:44.675659,onco
2023-08-23 10:05:44.686662,2023-08-23 10:22:35.764827,onco
2023-08-23 10:22:35.775864,2023-08-23 10:37:37.888859,onco
2023-08-23 10:37:37.899858,2023-08-23 10:52:39.816127,onco
2023-08-23 10:52:39.826124,2023-08-23 11:32:15.486764,onco
2023-08-23 11:32:15.503880,2023-08-23 16:40:11.667936,onco
2023-08-23 16:40:11.682900,2023-08-23 16:55:14.477869,onco
2023-08-23 16:55:14.492382,2023-08-23 17:10:17.195958,onco
2023-08-23 17:10:17.207924,2023-08-23 17:25:19.431949,onco
2023-08-23 17:25:19.444946,2023-08-23 17:44:41.938614,onco
2023-08-24 09:12:17.783085,2023-08-24 09:12:18.004085,
2023-08-24 09:12:18.026090,2023-08-24 09:27:23.908659,onco
2023-08-24 09:27:23.919657,2023-08-24 09:45:47.517516,onco
2023-08-24 09:45:47.528483,2023-08-24 10:01:00.738870,onco
2023-08-24 10:01:00.748875,2023-08-24 10:16:02.046976,onco
2023-08-24 10:16:02.057054,2023-08-24 10:31:04.889526,onco
2023-08-24 10:31:04.906533,2023-08-24 10:46:10.690681,onco
2023-08-24 10:46:10.700683,2023-08-24 12:57:44.525300,onco
2023-08-24 12:57:44.541501,2023-08-24 13:12:49.407059,onco
2023-08-24 13:12:49.419059,2023-08-24 13:31:06.418121,onco
2023-08-24 13:31:06.429122,2023-08-24 13:46:12.779560,onco
2023-08-24 13:46:12.791557,2023-08-24 14:01:14.941358,onco
2023-08-24 14:01:14.953342,2023-08-24 14:16:17.666116,onco
2023-08-24 14:16:17.675110,2023-08-24 14:46:20.461809,onco
2023-08-24 14:46:20.471813,2023-08-24 15:01:21.281514,onco
2023-08-24 15:01:21.294480,2023-08-24 15:16:22.625101,onco
2023-08-24 15:16:22.636100,2023-08-24 15:31:43.862545,onco
2023-08-24 15:31:43.872544,2023-08-24 15:46:45.224199,onco
2023-08-24 15:46:45.236166,2023-08-24 16:01:47.617513,onco
2023-08-24 16:01:47.627517,2023-08-24 16:16:47.931221,onco
2023-08-24 16:16:47.944218,2023-08-24 16:31:49.461878,onco
2023-08-24 16:31:49.492198,2023-08-24 17:01:50.867185,onco
2023-08-24 17:01:50.879185,2023-08-24 17:16:54.607614,onco
2023-08-24 17:16:54.621067,2023-08-24 17:31:58.901923,onco
2023-08-24 17:31:58.912917,2023-08-24 17:47:00.830138,onco
2023-08-24 17:47:00.840137,2023-08-24 18:02:17.306477,onco
2023-08-24 18:02:17.317478,2023-08-24 18:17:19.332938,onco
2023-08-24 18:17:19.344906,2023-08-25 08:35:09.950340,onco
2023-08-25 08:35:09.962340,2023-08-25 08:50:11.144195,onco
2023-08-25 08:50:11.158196,2023-08-25 09:05:47.392440,onco
2023-08-25 09:05:47.409436,2023-08-25 09:20:50.529451,onco
2023-08-25 09:20:50.539452,2023-08-25 09:35:52.229226,onco
2023-08-25 09:35:52.239226,2023-08-25 10:02:51.046176,onco
2023-08-25 10:02:51.059182,2023-08-25 10:17:52.451989,onco
2023-08-25 10:17:52.471976,2023-08-25 12:23:01.616971,onco
