start,finish,task
2023-11-18 15:06:19.322477,2023-11-20 09:00:13.982887,aag
2023-11-20 09:00:13.996398,2023-11-20 09:15:35.239366,aag pullout
2023-11-20 09:53:30.379002,2023-11-20 09:53:30.457769,
2023-11-20 09:53:30.457769,2023-11-20 10:08:34.482602,amin
2023-11-20 10:08:34.493139,2023-11-20 10:32:21.277342,amin
2023-11-20 10:32:21.291717,2023-11-20 10:47:26.544061,irex
2023-11-20 10:47:26.556574,2023-11-20 11:02:28.840893,irex
2023-11-20 11:02:28.852898,2023-11-20 11:17:31.584260,irex
2023-11-20 11:17:31.596774,2023-11-20 11:33:55.689052,irex
2023-11-20 11:33:55.701453,2023-11-20 11:49:08.283336,admin ps application
2023-11-20 11:49:08.292850,2023-11-20 12:04:12.318994,admin ps application
2023-11-20 12:04:12.334338,2023-11-20 12:19:12.864678,admin ps application
2023-11-20 12:19:12.877987,2023-11-20 13:13:41.731562,admin ps application
2023-11-20 13:13:41.742599,2023-11-20 13:28:43.094044,admin ps application
2023-11-20 13:28:43.108094,2023-11-20 13:43:43.660048,admin ps application
2023-11-20 13:43:43.673056,2023-11-20 13:58:45.315338,admin ps application
2023-11-20 13:58:45.329381,2023-11-20 14:31:23.409565,admin ps application
2023-11-20 14:31:23.421563,2023-11-20 15:01:46.469252,admin ps application
2023-11-20 15:01:46.483669,2023-11-20 15:16:48.104013,admin ps application
2023-11-20 15:16:48.116976,2023-11-20 15:31:49.606326,admin ps application
2023-11-20 15:31:49.615329,2023-11-20 15:46:51.167084,admin ps application
2023-11-20 15:46:51.182601,2023-11-20 16:01:54.020071,admin ps application
2023-11-20 16:01:54.033068,2023-11-20 16:17:01.758264,admin ps application
2023-11-20 16:17:01.772266,2023-11-20 16:32:31.367164,admin ps application
2023-11-20 16:32:31.380146,2023-11-21 09:48:09.477336,admin ps application
2023-11-21 09:48:09.489854,2023-11-21 10:03:11.024633,admin ps application
2023-11-21 10:03:11.036641,2023-11-21 10:48:32.700059,daily bread
2023-11-21 10:48:32.717528,2023-11-21 11:03:38.018297,damp
2023-11-21 11:03:38.030298,2023-11-21 11:18:45.790562,mpi
2023-11-21 11:18:45.803079,2023-11-21 11:34:09.018265,mpi
2023-11-21 11:34:09.031590,2023-11-21 11:50:01.515675,mpi
2023-11-21 11:50:01.538568,2023-11-21 12:20:23.724028,irex
2023-11-21 12:20:23.762107,2023-11-21 12:35:25.610963,irex
2023-11-21 12:35:25.622990,2023-11-22 15:34:48.375743,ween the ter
2023-11-22 15:34:48.385749,2023-11-22 15:50:03.062543,wellington
2023-11-22 15:50:03.075943,2023-11-22 16:05:06.658218,mpi
2023-11-22 16:05:06.669218,2023-11-22 16:20:09.111953,mpi
2023-11-22 16:20:09.122468,2023-11-22 16:39:14.632902,admin
2023-11-22 16:39:14.644900,2023-11-22 16:54:17.003847,admin
2023-11-22 16:54:17.015335,2023-11-22 17:09:18.948822,admin
2023-11-22 17:09:18.961344,2023-11-22 17:24:21.249044,admin
2023-11-22 17:24:21.261045,2023-11-22 17:39:22.885477,admin
2023-11-22 17:39:22.896478,2023-11-22 17:54:24.664217,admin
2023-11-24 08:53:51.236885,2023-11-24 08:53:51.355674,
2023-11-24 08:53:51.360692,2023-11-24 09:10:14.267594,emails tcl 
2023-11-24 09:10:14.278111,2023-11-24 09:25:15.938317,emails tcl 
2023-11-24 09:25:15.976008,2023-11-24 10:00:58.800012,emails tcl 
2023-11-24 10:00:58.813015,2023-11-24 10:40:20.920185,emails tcl 
2023-11-24 10:40:20.928189,2023-11-24 10:55:21.271423,emails tcl 
2023-11-24 10:55:21.282424,2023-11-24 11:10:23.025648,emails tcl 
2023-11-24 11:10:23.040741,2023-11-24 11:27:05.565227,emails tcl 
2023-11-24 11:27:05.578742,2023-11-24 11:57:11.210925,reading
2023-11-24 13:14:32.111832,2023-11-24 13:14:32.262264,
2023-11-24 13:14:32.325853,2023-11-24 13:29:39.512926,resech into airfoils
2023-11-24 13:29:39.522925,2023-11-24 14:02:07.540399,resech into airfoils
2023-11-24 14:02:07.555422,2023-11-24 14:17:09.492630,resech into airfoils
2023-11-24 14:17:09.509392,2023-11-24 14:32:11.640599,resech into airfoils
2023-11-24 14:32:11.653110,2023-11-24 14:47:14.949517,resech into airfoils
2023-11-24 14:47:14.960368,2023-11-24 15:02:22.430817,irex
2023-11-24 15:02:22.440816,2023-11-24 15:17:26.482922,irex
2023-11-24 15:17:26.494442,2023-11-24 15:32:30.859987,irex
2023-11-24 15:32:30.867987,2023-11-24 15:47:33.077776,irex
2023-11-24 15:47:33.090301,2023-11-24 16:02:35.224939,irex
2023-11-24 16:02:35.235031,2023-11-24 16:17:37.276600,irex
2023-11-24 16:17:37.289602,2023-11-24 16:32:38.927112,irex
2023-11-24 16:32:38.937513,2023-11-24 16:48:22.064454,irex
