start,finish,task
2023-10-30 12:58:43.403094,2023-10-30 12:58:43.896891,
2023-10-30 12:58:43.896891,2023-10-30 13:43:47.658238,mpi
2023-10-30 13:43:47.669756,2023-10-30 14:17:48.225410,mpi
2023-10-30 14:17:48.235412,2023-10-30 14:32:50.063654,mpi
2023-10-30 14:32:50.076655,2023-10-30 15:10:09.630710,mpi
2023-10-30 15:10:09.648234,2023-10-30 15:25:12.496862,mpi
2023-10-30 15:25:12.508375,2023-10-30 15:40:14.531611,mpi
2023-10-30 15:40:14.545632,2023-10-30 15:55:15.433437,mpi
2023-10-30 15:55:15.444401,2023-10-30 16:10:17.071791,mpi
2023-10-30 16:10:17.082934,2023-10-30 16:25:18.431109,mpi
2023-10-30 16:25:18.443076,2023-10-30 16:55:28.080912,mpi
2023-10-30 16:55:28.101110,2023-10-30 17:10:29.833961,mpi
2023-10-30 17:10:29.846974,2023-10-30 17:26:03.741970,mpi
2023-10-30 17:26:03.755971,2023-10-31 07:41:42.825568,mpi
2023-10-31 07:41:43.301107,2023-11-03 08:57:51.827857,mpi
2023-11-03 08:57:51.864045,2023-11-03 09:13:07.169187,mpi
2023-11-03 09:13:07.183281,2023-11-03 09:28:11.941675,mpi
2023-11-03 09:28:11.999801,2023-11-03 09:57:39.503575,mpi
2023-11-03 09:57:39.527651,2023-11-03 10:12:43.743561,mpi
2023-11-03 10:12:43.806648,2023-11-03 10:27:50.085848,mpi
2023-11-03 10:27:50.150516,2023-11-03 10:42:55.099193,mpi
2023-11-03 10:42:55.137446,2023-11-03 11:09:08.280213,mpi
2023-11-03 11:09:08.298876,2023-11-03 11:24:15.937329,meeting int
2023-11-03 11:24:15.950328,2023-11-03 11:39:47.962253,meeting int
2023-11-03 11:39:47.977254,2023-11-03 11:54:49.555850,meeting int
2023-11-03 11:54:49.568359,2023-11-03 13:40:07.886871,meeting int
2023-11-03 13:40:07.896576,2023-11-03 13:55:09.897558,meeting int
2023-11-03 13:55:09.911557,2023-11-03 14:56:25.163937,meeting int
2023-11-03 14:56:25.187462,2023-11-03 15:13:15.373151,meeting int
2023-11-03 15:13:15.386148,2023-11-03 15:28:18.052314,meeting int
2023-11-03 15:28:18.065184,2023-11-03 15:44:02.653360,meeting int
2023-11-03 15:44:02.665394,2023-11-03 16:05:57.018699,meeting int
2023-11-03 16:05:57.032162,2023-11-03 16:20:58.845185,meeting int
2023-11-03 16:20:58.854185,2023-11-03 16:39:51.061082,meeting int
2023-11-03 21:32:31.315020,2023-11-03 21:32:31.552158,
