start,finish,task
2023-06-06 08:46:58.004371,2023-06-06 08:46:58.291375,
2023-06-06 08:46:58.292373,2023-06-06 08:55:56.220204,setup in KEL office
2023-06-06 08:55:56.234206,2023-06-06 10:41:03.117503,oncology
2023-06-06 10:41:03.132506,2023-06-06 11:42:22.568162,admin - jh
2023-06-06 11:42:22.583159,2023-06-06 11:57:26.527209,aag
2023-06-06 11:57:26.545261,2023-06-06 12:37:10.312855,lunch
2023-06-06 12:37:10.341856,2023-06-06 12:52:15.796965,onco
2023-06-06 12:52:15.814480,2023-06-06 13:53:02.042215,kgl
2023-06-06 13:53:02.072612,2023-06-06 14:39:45.639924,mpil 
2023-06-06 14:39:45.652929,2023-06-06 15:08:59.027164,mpil 
2023-06-06 15:08:59.052172,2023-06-06 15:24:01.993117,mpil 
2023-06-06 15:24:02.011120,2023-06-06 15:39:10.664060,mpil 
2023-06-06 15:39:10.685068,2023-06-06 16:09:12.893982,mpil 
2023-06-06 16:09:12.911984,2023-06-06 16:25:15.972864,mpil 
2023-06-06 16:25:15.994858,2023-06-06 16:40:16.264741,mpil 
2023-06-06 16:40:16.281751,2023-06-06 16:55:20.104486,mpil 
2023-06-07 09:44:11.469068,2023-06-07 09:44:12.390082,
2023-06-07 09:44:12.485068,2023-06-07 11:20:51.294760,onco glass
2023-06-07 11:20:51.306773,2023-06-07 11:35:53.153947,onco glass
2023-06-07 11:35:53.168948,2023-06-07 11:50:56.862153,onco glass
2023-06-07 11:50:56.877153,2023-06-07 12:42:17.602968,onco glass
2023-06-07 12:42:17.643512,2023-06-07 12:57:21.077969,onco glass
2023-06-07 12:57:21.095969,2023-06-07 13:12:29.808875,onco glass
2023-06-07 13:12:29.846510,2023-06-07 13:27:38.152712,mpi
2023-06-07 13:27:38.169154,2023-06-07 13:42:42.557488,mpi
2023-06-07 13:42:42.578805,2023-06-07 13:57:46.772633,mpi
2023-06-07 13:57:46.791224,2023-06-07 14:12:48.481764,mpi
2023-06-07 14:12:48.506345,2023-06-07 14:48:24.919003,mpi
2023-06-07 14:48:24.954997,2023-06-07 15:03:26.777354,mpi
2023-06-07 15:03:26.795387,2023-06-07 15:21:24.370953,aag
2023-06-07 15:21:24.388961,2023-06-07 17:13:33.650586,aag
2023-06-07 17:13:33.677107,2023-06-07 17:28:35.268640,aag
2023-06-07 17:28:35.291142,2023-06-07 17:43:46.678701,aag
2023-06-07 17:43:46.696222,2023-06-07 17:58:49.048715,aag
2023-06-07 17:58:49.068725,2023-06-08 08:26:00.585738,aag
2023-06-08 08:26:00.658853,2023-06-08 08:58:54.844632,st m
2023-06-08 08:58:54.863635,2023-06-08 09:13:57.023449,st m
2023-06-08 09:13:57.034974,2023-06-08 09:28:58.976289,st m
2023-06-08 09:28:58.988298,2023-06-08 09:43:59.432247,st m
2023-06-08 09:43:59.443248,2023-06-08 11:44:01.752169,st m
2023-06-08 11:44:01.762074,2023-06-08 12:24:49.602245,st m
2023-06-08 12:24:49.612255,2023-06-08 12:41:04.585520,st m
2023-06-08 12:41:04.595520,2023-06-08 13:11:06.845252,st m
2023-06-08 13:11:06.856257,2023-06-08 14:00:36.683647,st m
2023-06-08 14:00:36.701646,2023-06-08 15:29:56.426404,st m
2023-06-09 09:31:43.065934,2023-06-09 09:31:43.209933,
2023-06-09 09:31:43.231935,2023-06-09 11:06:48.481523,team meet
2023-06-09 11:06:48.495767,2023-06-09 11:21:56.226615,aag
2023-06-09 11:21:56.240615,2023-06-09 11:36:57.780454,aag
2023-06-09 11:36:57.793450,2023-06-09 12:33:01.764136,lunch
2023-06-09 12:33:01.775650,2023-06-09 13:03:25.029010,lunch
2023-06-09 13:03:25.069626,2023-06-09 13:18:29.816012,aag
2023-06-09 13:18:29.834020,2023-06-09 13:33:33.800028,aag
2023-06-09 13:33:33.815043,2023-06-09 13:48:40.687718,aag
2023-06-09 13:48:40.703713,2023-06-09 14:03:42.265444,aag
2023-06-09 14:03:42.276446,2023-06-09 14:48:42.690207,aag
2023-06-09 14:48:42.713201,2023-06-09 15:18:45.382686,aag
2023-06-09 15:18:45.398727,2023-06-09 15:33:46.613480,aag
2023-06-09 15:33:46.626480,2023-06-09 15:48:55.406470,aag
2023-06-09 15:48:55.423472,2023-06-09 16:03:56.855011,aag
2023-06-09 16:03:56.871014,2023-06-09 16:18:58.069135,aag
2023-06-09 16:18:58.081135,2023-06-09 16:48:59.625122,aag
2023-06-09 16:48:59.643118,2023-06-09 17:04:00.701798,aag
2023-06-09 17:04:00.717764,2023-06-09 17:19:02.748967,aag
2023-06-10 18:01:42.270422,2023-06-10 18:01:42.389111,
