start,finish,task
2023-08-10 19:43:08.769687,2023-08-15 12:26:56.065552,bellagio
2023-08-15 12:26:56.077874,2023-08-15 12:41:57.549529,bellagio
2023-08-15 12:41:57.560127,2023-08-15 13:21:13.106578,bellagio
2023-08-15 13:21:13.123575,2023-08-15 14:20:25.837245,bellagio
2023-08-15 14:20:25.847248,2023-08-15 14:35:42.804172,sbr
2023-08-15 14:35:42.814177,2023-08-15 14:50:45.026522,sbr
2023-08-15 14:50:45.036533,2023-08-15 15:06:30.767403,sbr
2023-08-15 15:06:30.778413,2023-08-15 15:21:32.620578,sbr
2023-08-15 15:21:32.631578,2023-08-15 16:07:42.425981,sbr
2023-08-15 16:07:42.447019,2023-08-15 16:30:59.717893,sbr
2023-08-15 16:30:59.732884,2023-08-15 16:47:25.426224,wight
2023-08-15 16:47:25.439225,2023-08-15 17:06:29.820451,wight
2023-08-15 17:06:29.831449,2023-08-16 09:29:58.567178,iron bank
2023-08-16 09:29:58.584179,2023-08-16 09:45:03.689034,iron bank
2023-08-16 09:45:03.699153,2023-08-16 10:00:05.882062,iron bank
2023-08-16 10:00:05.897060,2023-08-16 10:15:30.431158,iron bank
2023-08-16 10:15:30.442218,2023-08-16 10:45:34.140819,iron bank
2023-08-16 10:45:34.149820,2023-08-16 11:00:35.761094,iron bank
2023-08-16 11:00:35.775090,2023-08-16 11:22:35.480171,iron bank
2023-08-16 11:22:35.492178,2023-08-16 11:37:36.986318,iron bank
2023-08-16 11:37:36.996319,2023-08-16 11:52:39.061215,iron bank
2023-08-16 11:52:39.071913,2023-08-16 12:07:41.159213,iron bank
2023-08-16 12:07:41.171215,2023-08-16 12:22:43.583080,iron bank
2023-08-16 12:22:43.596080,2023-08-16 12:51:23.781995,bellagio
2023-08-16 12:51:23.795005,2023-08-16 13:29:28.708583,bellagio
2023-08-16 13:29:28.724586,2023-08-16 13:44:29.969570,bellagio
2023-08-16 13:44:29.993501,2023-08-16 14:08:24.298973,bellagio
2023-08-16 14:08:24.310084,2023-08-16 17:14:27.743920,hnaga
2023-08-18 08:42:18.306598,2023-08-18 08:42:18.673291,
2023-08-18 08:42:18.703290,2023-08-18 10:36:46.875732,hanhaer and sbr
2023-08-18 10:36:46.888811,2023-08-18 10:51:48.095996,hanhaer and sbr
2023-08-18 10:51:48.108964,2023-08-18 11:06:50.330621,hanhaer and sbr
2023-08-18 11:06:50.340621,2023-08-18 12:12:23.888313,hanhaer and sbr
2023-08-18 12:12:23.903310,2023-08-18 13:25:18.909970,hanhaer and sbr
2023-08-18 13:25:18.974488,2023-08-18 13:40:23.262403,mpi
2023-08-18 13:40:23.275079,2023-08-18 13:55:24.937977,mpi
2023-08-18 13:55:24.947629,2023-08-18 14:10:27.918358,mpi
2023-08-18 14:10:27.932081,2023-08-18 14:25:29.476110,mpi
2023-08-18 14:25:29.490106,2023-08-18 14:40:39.020179,mpi
2023-08-18 14:40:39.031179,2023-08-18 14:55:40.283393,mpi
2023-08-18 14:55:40.293400,2023-08-18 15:10:43.597242,mpi
2023-08-18 15:10:43.606247,2023-08-18 15:25:44.700150,mpi
2023-08-18 15:25:44.714152,2023-08-18 15:40:46.390428,mpi
2023-08-18 15:40:46.404427,2023-08-18 15:58:14.246648,mpi
2023-08-18 15:58:14.258645,2023-08-18 16:13:57.204549,mpi
2023-08-18 16:13:57.217548,2023-08-18 16:28:58.953327,mpi
2023-08-18 16:28:58.966318,2023-08-18 16:44:00.621037,mpi
2023-08-18 16:44:00.634987,2023-08-18 16:59:02.341802,mpi
