start,finish,task
2023-07-17 09:02:25.695144,2023-07-17 09:02:25.802662,
2023-07-17 09:02:25.802662,2023-07-17 09:33:20.208173,ironbank
2023-07-17 09:33:20.218175,2023-07-17 09:56:40.204831,ironbank
2023-07-17 09:56:40.218832,2023-07-17 10:11:41.249534,ironbank
2023-07-17 10:11:41.261054,2023-07-17 10:26:42.981711,ironbank
2023-07-17 10:26:42.992711,2023-07-17 10:41:53.204160,onco
2023-07-17 10:41:53.214157,2023-07-17 11:27:12.642049,onco
2023-07-17 11:27:12.651045,2023-07-17 11:58:04.567258,onco
2023-07-17 11:58:04.579264,2023-07-17 12:43:53.446980,onco
2023-07-17 12:43:53.659056,2023-07-17 12:59:00.500895,admin
2023-07-17 12:59:00.510901,2023-07-17 13:14:11.135037,admin
2023-07-17 13:14:11.150552,2023-07-17 13:29:12.656612,admin
2023-07-17 13:29:12.665611,2023-07-17 13:46:04.956468,admin
2023-07-17 13:46:04.966465,2023-07-17 14:16:06.880614,admin
2023-07-17 14:16:06.893616,2023-07-17 14:31:09.608379,admin
2023-07-17 14:31:09.621379,2023-07-17 14:46:11.261945,admin
2023-07-17 14:46:11.272947,2023-07-17 15:01:23.078452,admin
2023-07-17 15:01:23.100450,2023-07-17 15:16:25.523692,admin
2023-07-17 15:16:25.539653,2023-07-17 15:31:40.802064,admin
2023-07-17 15:31:40.827181,2023-07-18 09:36:08.793612,precinct
2023-07-18 09:36:08.858856,2023-07-18 09:51:31.796716,ironbank
2023-07-18 09:51:31.830715,2023-07-18 10:06:37.023505,precincet
2023-07-18 10:06:37.038468,2023-07-18 10:21:40.917942,precincet
2023-07-18 10:21:40.929452,2023-07-18 10:45:28.380088,precincet
2023-07-18 10:45:28.413092,2023-07-18 11:00:32.042958,onco
2023-07-18 11:00:32.055960,2023-07-18 11:15:57.904178,onco
2023-07-18 11:15:57.919183,2023-07-18 11:35:33.144778,onco
2023-07-18 11:35:33.176016,2023-07-18 12:26:48.712593,onco
2023-07-18 12:26:48.730597,2023-07-18 12:41:52.628591,onco
2023-07-18 12:41:52.640587,2023-07-18 12:56:54.986872,onco
2023-07-18 12:56:54.998646,2023-07-18 13:26:59.107167,onco
2023-07-18 13:26:59.127173,2023-07-18 13:42:17.565134,timesheet
2023-07-18 13:42:17.576202,2023-07-18 13:57:20.441528,3
2023-07-18 13:57:20.455526,2023-07-18 14:23:22.475264,walk
2023-07-18 14:23:22.488357,2023-07-18 14:38:28.376515,walk
2023-07-18 14:38:28.390028,2023-07-18 14:53:33.577965,mpi
2023-07-18 14:53:33.589955,2023-07-18 15:08:35.182205,mpi
2023-07-18 15:08:35.206473,2023-07-18 15:23:54.960264,aag slates
2023-07-18 15:23:54.985915,2023-07-18 16:00:47.604761,aag slates
2023-07-18 16:00:47.610756,2023-07-18 16:25:10.433914,onco winds
2023-07-18 17:59:24.695825,2023-07-18 17:59:24.933827,
2023-07-18 17:59:24.980842,2023-07-19 10:26:08.503529,driving to papamoa
2023-07-19 10:26:08.513541,2023-07-19 10:41:12.093829,driving to papamoa
2023-07-19 10:41:12.107436,2023-07-19 11:49:52.051609,meeting MPI
2023-07-19 11:49:52.061608,2023-07-19 12:08:01.571757,onco
2023-07-19 12:08:01.580756,2023-07-19 12:23:05.171856,onco
2023-07-19 12:23:05.181856,2023-07-19 12:53:09.515395,onco
2023-07-19 12:53:09.524419,2023-07-19 13:08:20.127576,onco
2023-07-19 13:08:20.137752,2023-07-19 13:23:21.683144,onco
2023-07-19 13:23:21.696421,2023-07-19 14:17:42.549092,lunch
2023-07-19 14:29:10.282858,2023-07-19 14:29:10.668381,
2023-07-19 14:29:10.730301,2023-07-19 14:44:20.644013,onco
2023-07-19 14:44:20.652004,2023-07-19 14:59:23.375041,onco
2023-07-19 14:59:23.385045,2023-07-19 15:14:25.264770,onco
