start,finish,task
2023-09-01 14:33:53.637603,2023-09-04 09:05:04.554977,MPI
2023-09-04 09:05:04.568494,2023-09-04 09:20:12.058405,MPI
2023-09-04 09:20:12.069407,2023-09-04 09:35:14.975553,MPI
2023-09-04 09:35:14.985553,2023-09-04 09:50:36.043358,MPI
2023-09-04 09:50:36.055360,2023-09-04 10:13:16.842397,MPI
2023-09-04 10:13:16.850363,2023-09-04 10:28:23.876319,MPI
2023-09-04 10:28:23.885315,2023-09-04 10:43:25.357030,MPI
2023-09-04 10:43:25.367030,2023-09-04 11:03:37.583268,MPI
2023-09-04 11:03:37.594269,2023-09-04 11:34:31.217130,photo
2023-09-04 11:34:31.230131,2023-09-04 11:57:51.308988,photo
2023-09-04 11:57:51.336272,2023-09-04 12:34:21.078394,photo
2023-09-04 12:34:21.096912,2023-09-04 12:49:27.063395,photo
2023-09-04 12:49:27.074667,2023-09-04 13:04:29.862156,photo
2023-09-04 13:04:29.875160,2023-09-04 13:19:31.492829,photo
2023-09-04 13:19:31.507831,2023-09-04 13:34:34.953927,photo
2023-09-04 13:34:34.978930,2023-09-04 14:21:06.973695,photo
2023-09-04 14:21:06.984706,2023-09-04 14:36:08.556399,photo
2023-09-04 14:36:08.618259,2023-09-04 15:06:16.390887,hangar
2023-09-04 15:06:16.400891,2023-09-04 15:30:06.883000,hangar
2023-09-04 15:30:06.894005,2023-09-04 16:00:18.182216,hangar
2023-09-04 16:00:18.193216,2023-09-06 10:13:34.301451,hangar
2023-09-06 10:13:34.321017,2023-09-06 11:09:45.357323,ndh
2023-09-06 11:09:45.370324,2023-09-06 11:24:49.800521,ndh
2023-09-06 11:24:49.825543,2023-09-06 11:39:51.447700,ndh
2023-09-06 11:39:51.461700,2023-09-06 11:54:52.791734,ndh
2023-09-06 11:54:52.808293,2023-09-06 12:24:21.230889,ndh
2023-09-06 12:24:21.245022,2023-09-06 13:14:17.957049,ndh
2023-09-06 13:14:17.973049,2023-09-06 14:24:11.843197,ndh
2023-09-06 14:24:11.855714,2023-09-06 14:39:13.324792,ndh
2023-09-06 14:39:13.337756,2023-09-06 14:54:15.138954,ndh
2023-09-06 14:54:15.150958,2023-09-06 15:09:18.010037,ndh
2023-09-06 15:09:18.023294,2023-09-06 15:24:19.667628,ndh
2023-09-06 15:24:19.678853,2023-09-06 15:39:21.790364,ndh
2023-09-06 15:39:21.802363,2023-09-06 15:54:22.974529,ndh
2023-09-06 15:54:22.987532,2023-09-06 16:09:24.975054,ndh
2023-09-06 16:09:24.986057,2023-09-06 16:39:26.324403,ndh
2023-09-06 16:39:26.339365,2023-09-06 16:54:27.602712,ndh
2023-09-06 16:54:27.615713,2023-09-07 10:22:10.344958,munror
2023-09-07 10:22:10.450511,2023-09-07 10:37:13.140787,- 
2023-09-07 10:37:13.167844,2023-09-07 10:59:02.509028,- 
2023-09-07 10:59:02.521036,2023-09-07 11:14:17.432194,- 
2023-09-07 11:14:17.444156,2023-09-07 11:44:19.381648,- 
2023-09-07 11:44:19.393661,2023-09-07 11:59:27.944501,mesh
2023-09-07 11:59:27.956501,2023-09-07 12:14:42.199945,mesh
2023-09-07 12:14:42.215960,2023-09-07 12:29:43.759517,mesh
2023-09-07 12:29:43.772522,2023-09-07 12:44:45.057631,mesh
2023-09-07 12:44:45.070630,2023-09-07 12:59:49.965109,mesh
2023-09-07 12:59:49.983114,2023-09-07 13:14:51.381215,mesh
2023-09-07 13:14:51.394219,2023-09-07 14:03:11.404452,mesh
2023-09-07 14:03:11.417456,2023-09-07 14:19:33.027857,mesh
2023-09-07 14:19:33.044860,2023-09-07 14:34:35.741441,mesh
2023-09-07 14:34:35.755439,2023-09-07 14:49:37.409260,mesh
2023-09-07 14:49:37.424261,2023-09-07 15:05:29.211665,mesh
2023-09-07 15:05:29.227669,2023-09-07 15:20:32.497115,mesh
2023-09-07 15:20:32.519656,2023-09-07 15:35:35.021042,mesh
2023-09-07 15:35:35.041915,2023-09-07 15:58:40.222192,mesh
2023-09-07 15:58:40.241969,2023-09-07 16:21:33.155509,mesh
2023-09-07 16:21:33.166513,2023-09-07 16:36:39.632501,mesh
2023-09-07 16:36:39.648501,2023-09-07 17:00:52.022663,mesh
2023-09-07 17:00:52.037184,2023-09-07 17:15:53.182472,mesh
