start,finish,task
2023-04-03 09:03:57.614944,2023-04-03 09:03:57.754944,
2023-04-03 09:03:57.754944,2023-04-03 09:34:18.067801,st m
2023-04-03 09:34:18.075802,2023-04-03 11:12:02.172952,sbr
2023-04-03 11:12:02.185959,2023-04-03 11:27:04.482616,sbr
2023-04-03 11:27:04.494622,2023-04-03 11:43:09.987781,sbr
2023-04-03 11:43:09.997781,2023-04-03 11:58:11.010779,sbr
2023-04-03 11:58:11.022782,2023-04-03 12:13:15.134529,st m
2023-04-03 12:13:15.158236,2023-04-03 12:43:19.351753,markspa
2023-04-03 12:43:19.359755,2023-04-03 12:58:21.495238,markspa
2023-04-03 12:58:21.504242,2023-04-03 13:13:25.654630,mpi
2023-04-03 13:13:25.665629,2023-04-03 14:05:27.955182,mpi
2023-04-03 14:05:27.977318,2023-04-03 14:26:37.673008,mpi
2023-04-03 14:26:37.687012,2023-04-03 14:54:12.525488,ndg
2023-04-03 14:54:12.536499,2023-04-03 15:09:14.916668,ndg
2023-04-03 15:09:14.928669,2023-04-03 15:39:16.436526,ndg
2023-04-03 15:39:16.450526,2023-04-03 15:54:20.218496,st ma
2023-04-03 15:54:20.231498,2023-04-03 16:09:20.388673,st ma
2023-04-03 16:09:20.406666,2023-04-03 16:54:21.542261,z
2023-04-03 16:54:21.558260,2023-04-03 17:09:24.257507,z
2023-04-04 08:46:08.175114,2023-04-04 08:46:08.601390,
2023-04-04 08:46:08.613421,2023-04-04 09:01:14.554312,mpi
2023-04-04 09:01:14.567312,2023-04-04 09:16:16.830430,mpi
2023-04-04 09:16:16.838429,2023-04-04 09:31:17.468923,mpi
2023-04-04 09:31:17.476924,2023-04-04 13:21:46.260664,mpi
2023-04-04 13:21:46.296369,2023-04-04 15:46:12.804087,bellagio
2023-04-04 15:46:12.817083,2023-04-04 16:01:15.790185,bellagio
2023-04-04 16:01:15.801184,2023-04-04 16:16:19.757909,mpi
2023-04-04 16:16:19.768906,2023-04-05 08:51:55.741670,bell
2023-04-05 08:51:55.820797,2023-04-05 09:06:59.570432,bell
2023-04-05 09:06:59.590453,2023-04-05 09:22:02.444830,bell
2023-04-05 09:22:02.464849,2023-04-05 09:37:05.366154,mpi
2023-04-05 09:37:05.384687,2023-04-05 09:52:06.988420,mpi
2023-04-05 09:52:07.002325,2023-04-05 10:17:51.782613,mpi
2023-04-05 10:17:51.796618,2023-04-05 10:32:56.889006,mpi
2023-04-05 10:32:56.901013,2023-04-05 10:47:58.284178,mpi
2023-04-05 10:47:58.297716,2023-04-05 11:03:03.818255,mpi
2023-04-05 11:03:03.835255,2023-04-05 11:18:05.571597,mpi
2023-04-05 11:18:05.583595,2023-04-05 11:33:20.599273,mpi
2023-04-05 11:33:20.614271,2023-04-05 11:48:22.077397,mpi
2023-04-05 11:48:22.092398,2023-04-05 12:18:23.969617,mpi
2023-04-05 12:18:23.990613,2023-04-05 12:33:33.120968,mpi
2023-04-05 12:33:33.138965,2023-04-05 12:48:34.677033,mpi
2023-04-05 12:48:34.742030,2023-04-05 13:03:37.082313,mpi
2023-04-05 13:03:37.108170,2023-04-05 13:18:38.406425,mpi
2023-04-05 13:18:38.422387,2023-04-05 13:48:40.656005,mpi
2023-04-05 13:48:40.669007,2023-04-05 14:21:52.143355,mpi
2023-04-05 14:21:52.161324,2023-04-05 14:37:02.097097,mpi
2023-04-05 14:37:02.117096,2023-04-05 14:52:06.703691,mpi
2023-04-05 14:52:06.723682,2023-04-05 15:08:00.822891,mpi
2023-04-05 15:08:00.846888,2023-04-05 15:23:03.745504,mpi
2023-04-05 15:23:03.767506,2023-04-05 15:38:15.958284,mpi
2023-04-05 15:38:15.975285,2023-04-05 15:53:17.784124,mpi
2023-04-05 15:53:17.798127,2023-04-05 16:08:19.779746,mpi
2023-04-05 16:08:19.793743,2023-04-05 16:23:28.484525,mpi
2023-04-05 16:23:28.503526,2023-04-05 16:38:29.774672,mpi
2023-04-05 16:38:29.803683,2023-04-05 16:53:33.344642,mpi
2023-04-05 16:53:33.367643,2023-04-05 17:08:35.266304,mpi
2023-04-08 10:28:25.438911,2023-04-08 10:28:26.761918,
